"分野","ID","Question","Option1","Option2","Option3","Option4","Answer","Explanation","Keywords"
"ストラテジ","ST-011","スマートファクトリーにおいても使用されている, FMS (Flexible Manufacturing System)に関する記述として,最も適切なものはどれか。","ア 技術革新を効果的に自社の経営に取り入れることによって, 企業の成長を図る。","イ 生産工程の各段階で, 原材料から完成製品までの資材の流れを適時・適量に管理する。","ウ 生産時に必要となる部品などを必要な分だけ供給することによって, 生産リードタイムを短縮する。","エ 複数の工作機械や産業用ロボットなどを有機的に結合し,生産プロセス全体を統括的に制御 管理する。",4,"FMS（フレキシブル生産システム）は、複数の工作機械やロボットなどをコンピュータで結合し、多品種少量生産に柔軟に対応する生産システムです。","FMS,スマートファクトリー"
"ストラテジ","ST-012","商標法におけるサービスマークを説明したものはどれか。","ア 企業が, 企業そのものを他社と区別するために表示する商標である。","イ 製造業者, 販売業者が提供する商品を, 他社の商品と区別するために表示する商標である。","ウ 大規模小売業者が開発したプライベートブランドの商品を, 他社の商品と区別するために表示する商標である。","エ 輸送業者, 金融業者などが提供する役務を、他社の役務と区別するために表示する商標である。",4,"サービスマーク（役務商標）は、商品ではなく「サービス（役務）」を提供する事業者が、自社のサービスを他社のものと区別するために使用する商標です。","サービスマーク,商標法"
"ストラテジ","ST-013","新しい IT ソリューションの活用の是非を判断するために,そのITソリューションの提供者に, 活用事例や技術情報などの提供を依頼する文書として, 最も適切なものはどれか。","ア EDI","イ KPI","ウ RFI","エ RFP",3,"RFI（Request for Information：情報提供依頼書）は、システム導入検討の初期段階で、ベンダーに技術情報や導入事例などの情報提供を依頼する文書です。","RFI,調達管理"
"ストラテジ","ST-014","事業,経営情報に知財情報を組み込んで分析し, 現状の俯瞰や将来展望などの分析結果を事業責任者,経営者と共有し, 事業戦略又は経営戦略に反映させることを表す用語として,最も適切なものはどれか。","ア CVC (Corporate Venture Capital)","イ IP ランドスケープ (Intellectual Property Landscape)","ウ MOT (Management of Technology)","エ SWOT 分析",2,"IPランドスケープは、特許情報などの知財情報と経営・市場情報を組み合わせて分析し、経営戦略や事業戦略に活用する活動です。","IPランドスケープ,知財戦略"
"ストラテジ","ST-015","事業運営における意思決定の迅速化, 組織の独立採算の推進を目的とし、一つの企業の中に事業領域ごとに独立した組織を設置する組織形態はどれか。","ア カンパニー制組織","イ 機能別組織","ウ プロジェクト組織","エ マトリックス組織",1,"カンパニー制組織は、企業内の事業部門を独立した会社のように位置づけ、権限委譲と独立採算を進める組織形態です。","カンパニー制,組織構造"
"ストラテジ","ST-016","他人の電子メールの利用者 ID とパスワードの取扱いに関する記述のうち,不正アクセス禁止法で規制されている行為だけを全て挙げたものはどれか。
a 正当な理由なく本人に無断で第三者に提供する。
b 他人の電子メールの利用者IDとパスワードを無効にするマルウェアを作成する。
c 本人に無断で使用して, メールサーバ上の電子メールを閲覧する。","ア a, b, c","イ a, c","ウ b, c","エ c",2,"不正アクセス禁止法は、「不正アクセス行為(c)」とそれを「助長する行為(a: 他人のID/PWを正当な理由なく第三者に提供)」を規制しています。","不正アクセス禁止法,助長行為"
"ストラテジ","ST-017","プロセスマイニングに関する記述として,最も適切なものはどれか。","ア 一連の業務で実際に遂行したシステムの操作ログなどを収集し, 現行の業務プロセスの可視化,分析, モニタリングによって業務の課題を特定して改善を図る手法やツールである。","イ 業務プロセスをそれまでの習慣などにとらわれず, 抜本的に再構築して業務効率の改善を図る手法である。","ウ コンタクトセンターへの問合せ内容や SNS の投稿内容の分析などの業務プロセスで用いられる, 膨大な文章データから必要な情報を抽出して分析する手法である。","エ 大量の計算処理で正しい値を算出する一連のプロセスを通じて, 暗号資産を取得する手段である。",1,"プロセスマイニングは、業務システムのイベントログデータを分析し、実際の業務プロセスを可視化・分析して課題発見や改善に繋げる手法です。","プロセスマイニング,業務改善"
"ストラテジ","ST-018","ITにおけるアクセシビリティに関する記述として, 最も適切なものはどれか。","ア 高齢者や障害者などを含め、 様々な能力や特性をもつ幅広い層の人が等しく利用できるように配慮したソフトウェア製品の設計","イ 顧客データを基に顧客を識別し, コールセンターやインターネットなどの様々なチャネルを用いて顧客との関係を深める手法","ウ 製品, システム, サービスなどにおいて, それらを使用する場面をイメージしたり実際に利用したりすることで得られる人の感じ方や反応","エ 特定のファイルやデータベースなどの情報資産に対し, 参照や更新などの権限の認可や制限を確実にする手段",1,"アクセシビリティは、年齢や身体的制約に関わらず、誰もが情報やサービスに容易にアクセスし利用できる度合いのことです。","アクセシビリティ,ユニバーサルデザイン"
"ストラテジ","ST-019","仮想環境を用いた技術であるAR 又は VR の活用事例のうち, VR の活用事例として,最も適切なものはどれか。","ア 顔を覆うように頭部にゴーグルを装着し, そのゴーグル内に投影された仮想空間に広がる火災や地震の映像を見ながら避難方法をイメージすることによって, 防災訓練が行える。","イ 家具をオンラインで購入するときに, スマートフォンのカメラを通して画面に映っている現実の自分の部屋に, 購入したい家具をリアルタイムに重ねて試し置きできる。","ウ 史跡などにスマートフォンを向けることによって, 昔あった建物の画像や説明情報が現実の風景と重なって画面に表示される。","エ 図鑑にスマートフォンをかざすことによって, 図鑑の絵や写真に重なって生物の動画が見られる。",1,"VR（仮想現実）は、ゴーグルなどで視界を覆い、コンピュータが生成した仮想空間を現実のように体験する技術です。アはVRの事例。イ、ウ、エは現実世界に情報を重ねるAR（拡張現実）の事例です。","VR,AR"
"ストラテジ","ST-020","ソフトウェアライフサイクルを企画プロセス, 要件定義プロセス,開発プロセス,保守プロセスに分けたとき, 企画プロセスのシステム化構想の立案時にベンダー企業から収集する情報として, 最も適切なものはどれか。","ア システム化計画に基づいた開発コストの見積り","イ システム化する業務の分野に関する情報技術動向","ウ システム構築を進めるに当たっての発注元企業の役割","エ ベンダー企業の技術者が保有している技術資格",2,"企画プロセスではシステム化構想を練るため、関連する技術動向や他社事例などの幅広い情報を収集します。コスト見積もり等は後の工程です。","システム企画,情報収集"
"ストラテジ","ST-021","基本的な機能やサービスは無償で提供し、追加の機能やサービスを有償で提供することで利益を上げるビジネスモデルを表す用語として, 最も適切なものはどれか。","ア フリーウェア","イ フリーミアム","ウ フリーライド","エ フリーランス",2,"フリーミアムは、「フリー(無料)」と「プレミアム(割増)」を組み合わせた造語で、基本機能を無料、追加機能を有料で提供するビジネスモデルです。","フリーミアム,ビジネスモデル"
"ストラテジ","ST-022","営業部のAさんは、営業担当者10人の営業成績が一目で分かるように,各営業担当者が提出する営業見込みと実績を毎月集約してグラフ化したいと考えている。この問題を解決するために適用する技術やツールとして, 最も適切なものはどれか。","ア データを学習し, 分析する AI","イ データを自動収集し, データベースに蓄積する IoT","ウ 入力したデータを, 加工して見せるオフィスツール","エ ビッグデータを、 様々な手法で分析するデータサイエンス",3,"提出されたデータを集約しグラフ化するには、表計算ソフトなどのオフィスツールが最も適しています。","オフィスツール,業務効率化"
"ストラテジ","ST-023","コーポレートガバナンスの強化に有効な施策だけを全て挙げたものはどれか。
a 株式公開買付けによる企業の買収
b 執行役員制度の導入による経営と執行の分離
c 独立性の高い社外取締役の選任","ア a, b","イ a, b, c","ウ b, c","エ c",3,"コーポレートガバナンス強化には、経営の監視機能向上が重要です。b(執行役員制度)は経営と執行の分離、c(社外取締役選任)は独立した監視に繋がります。","コーポレートガバナンス,内部統制"
"ストラテジ","ST-024","RPAに関する記述として, 最も適切なものはどれか。","ア 企業の一部の業務を外部の組織に委託することによって, 自社のリソースを重要な領域に集中したり,コストの最適化や業務の高効率化などを実現したりする。","イ 組立てや搬送などにハードウェアのロボットを用いることによって, 工場の生産活動の自動化を実現する。","ウ システムの利用者が, 主体的にシステム管理や運用を行うことによって 利用者のITリテラシーの向上や、システムベンダーへの依存の軽減などを実現する。","エ ホワイトカラーの定型的な事務作業を, ソフトウェアのロボットに代替させることによって, 自動化や効率化を図る。",4,"RPA（Robotic Process Automation）は、PC上で行う定型的な事務作業をソフトウェアロボットで自動化する技術です。","RPA,業務自動化"
"ストラテジ","ST-025","ブロックチェーンを適用した事例として, 最も適切なものはどれか。","ア 証券会社が, 取引の改ざんや不整合の発生を防止することを目的として,従来の社債に代わり電子的手段を用いたデジタル社債を発行した。","イ 商品先物取引所を運営する認可法人が, 取引量を拡大することを目的として, 現在およそ1秒以上要している注文受付の応答時間を, 1秒未満に改善した。","ウ ビジネス路線を中心に運航する航空会社が, 顧客の利便性向上と競合他社に対する競争力強化を目的として, 出発1時間前まで何回でも予約の変更を可能とする新しいサービスを開始した。","エ 服飾雑貨製造会社が, 自社の商品企画に活用することを目的として, 過去の全ての自社商品に関する大量の画像及び社内会議の音声データをデータベースに保存し, 従業員がいつでも検索できるようにした。",1,"ブロックチェーンは改ざんが極めて困難な分散型台帳技術です。アのデジタル社債は、ブロックチェーンの耐改ざん性を活用した事例です。","ブロックチェーン,改ざん防止"
"ストラテジ","ST-026","業務と情報システムを最適にすることを目的として, 業務と情報システムの現状の把握と目標とする理想像の設定から現状と理想との乖離を明確にし, 目標に向けた改善活動を移行計画として定義したい。このときに用いられる手法として, 最も適切なものはどれか。","ア BI (Business Intelligence)","イ EA (Enterprise Architecture)","ウ MOT (Management of Technology)","エ SOA (Service Oriented Architecture)",2,"EA（エンタープライズアーキテクチャ）は、組織全体の業務と情報システムをモデル化し、現状(As-Is)と理想像(To-Be)を定義して全体最適化を図る手法です。","EA,全体最適化"
"ストラテジ","ST-027","生成 AI に関する記述として, 最も適切なものはどれか。","ア 一切の学習を必要とせずに、 新しいコンテンツを生成する。","イ 過去のデータから項目間の相関などを学習したモデルを用いて, 現在のデータから将来の値を予測して出力する。","ウ 作成したシナリオに基づいて動作するソフトウェアロボットによって業務を自動化する。","エ 自然言語で指示された内容に従って, 事前に学習したデータを基に, 新しいコンテンツを生成する。",4,"生成AIは、事前に大量のデータを学習し、その知識に基づいてユーザーの指示に応じた新しいコンテンツ（文章、画像など）を生成するAIです。","生成AI,ディープラーニング"
"ストラテジ","ST-028","企業経営の中核となる考え方を, ミッション, ビジョン, バリューの三つに分けて示す場合,ビジョンとして示すものとして, 最も適切なものはどれか。","ア 企業の存在意義や使命","イ 企業の存在意義や使命をふまえた, ある時点でのありたい姿","ウ 戦略を実現するために重要となる業績管理指標","エ 戦略を実現するために重要となる成功要因",2,"ビジョンは、企業が将来達成したい「あるべき姿」や目標を示します。ミッション（存在意義）に基づいて設定されます。","経営理念,ビジョン"
"ストラテジ","ST-029","著作権に関して, 次の記述中の a, b に入れる字句の適切な組合せはどれか。
a は著作権法による保護の対象になるが, b は対象にならない。","ア アルゴリズム 操作マニュアル","イ アルゴリズム 通信プロトコル","ウ ソースプログラム 操作マニュアル","エ ソースプログラム 通信プロトコル",4,"著作権は「表現」を保護します。ソースプログラムは保護対象ですが、通信プロトコル（規約）やアルゴリズム（アイデア）は原則対象外です。","著作権法,プログラム保護"
"ストラテジ","ST-030","ERP システムの説明として、 適切なものはどれか。","ア 企業内の個人がもつ営業に関する知識やノウハウを収集し, 共有することによって,効率的,効果的な営業活動を支援するシステム","イ 経理や人事, 生産, 販売などの基幹業務と関連する情報を一元管理し、 経営資源を最適配分することによって, 効率的な経営の実現を支援するシステム","ウ 原材料の調達から生産, 販売に関する情報を, 企業間で共有・管理することによって,ビジネスプロセスの全体最適を目指すシステム","エ 個々の顧客に関する情報や対応履歴などを管理することによって, きめ細かい顧客対応を実施し, 顧客満足度の向上を支援するシステム",2,"ERP（企業資源計画）システムは、企業の基幹業務（会計、人事、生産、販売など）の情報を統合管理し、経営資源の最適化を図るシステムです。","ERP,基幹システム"
"ストラテジ","ST-031","公共交通機関での移動履歴, Web サイトでの商品検索履歴, SNSやブログで発信したデータなど, 個人の活動を記録する技術, 又は記録そのものを表す用語として,最も適切なものはどれか。","ア アクティビティ","イ トランザクション","ウ ライフログ","エ レコードキーピング",3,"ライフログは、個人の日常生活における様々な活動記録（移動履歴、購買履歴、Web閲覧履歴など）をデジタルデータとして記録・蓄積する技術や記録自体を指します。","ライフログ,ビッグデータ"
"ストラテジ","ST-032","自動運転の水準は,一般的に “レベル1” から “レベル5” に分けられている。“条件付運転自動化” と呼ばれる“レベル3” が示す自動運転の水準に関する記述として,最も適切なものはどれか。","ア 運転の主体はシステムであり, 人間が運転する必要はないが,システムによる自動運転の継続が難しい場合は,人間が運転しなければならない。","イ 運転の主体はシステムであり, 人間が運転する必要はないので,ハンドルやペダルなどの運転装置は不要だが, 自動運転できる地域は限られる。","ウ 運転の主体は人間であり, 高速道路で車線を維持しながら前の自動車に付いて走る機能のように, ハンドルと加減速の操作をシステムが支援する。","エ 運転の主体は人間であり, 自動ブレーキや急発進防止システムのように,前方又は後方の状況によって, システムが運転の一部を支援する。",1,"自動運転レベル3（条件付運転自動化）は、特定条件下でシステムが運転を行いますが、システム要請時にはドライバーが運転を引き継ぐ必要があります。","自動運転,IoT"
"ストラテジ","ST-033","ある商品を5,000個販売したところ, 売上げが6,000万円, 利益が400万円となった。商品1個当たりの変動費が7,000円であるとき, 利益を1,000万円以上にするためには,少なくともあと何個販売すればよいか。","ア 500","イ 1,200","ウ 6,200","エ 7,500",2,"固定費=売上-変動費-利益 = 6000万 - (7000円*5000個) - 400万 = 2100万円。目標販売数をxとすると、(単価12000円-変動費7000円)*x - 固定費2100万円 >= 1000万円。5000円*x >= 3100万円。x >= 6200個。あと必要なのは6200-5000=1200個。","損益分岐点,財務会計"
"ストラテジ","ST-034","マーケティング戦略の策定プロセスのうち, 自社製品の差別化ポイントを明確化するものはどれか。","ア セグメンテーション","イ ターゲティング","ウ プロモーション","エ ポジショニング",4,"ポジショニングは、ターゲット市場において、競合製品との比較で自社製品の独自の価値や立ち位置を明確にする活動です。","ポジショニング,STP分析"
"ストラテジ","ST-035","マーケティングオートメーション (MA) に関する記述として, 最も適切なものはどれか。","ア 企業内に蓄積された大量のデータを分析して, 事業戦略などに有効活用する。","イ 小売業やサービス業において, 販売した商品単位の情報の収集蓄積及び分析を行う。","ウ これまで人間が手作業で行っていた定型業務を, AI や機械学習などを取り入れたソフトウェアのロボットが代行することによって自動化や効率化を図る。","エ 見込み顧客の抽出, 獲得, 育成などの営業活動を効率化する。",4,"マーケティングオートメーション(MA)は、見込み顧客の獲得・育成・選別といったマーケティング活動を自動化・効率化する仕組みです。","MA,マーケティング"
"ストラテジ","ST-036","情報システムに不正に侵入し、サービスを停止させて社会的混乱を生じさせるような行為に対して,国全体で体系的に防御施策を講じるための基本理念を定め、国の責務などを明らかにした法律はどれか。","ア 公益通報者保護法","イ サイバーセキュリティ基本法","ウ 不正アクセス禁止法","エ プロバイダ責任制限法",2,"サイバーセキュリティ基本法は、サイバーセキュリティに関する施策の基本理念や国等の責務を定めた法律です。","サイバーセキュリティ基本法,法務"
"ストラテジ","ST-037","未来のある時点に目標を設定し, そこを起点に現在を振り返り、目標実現のために現在すべきことを考える方法を表す用語として, 最も適切なものはどれか。","ア PoC (Proof of Concept)","イ PoV (Proof of Value)","ウ バックキャスティング","エ フォアキャスティング",3,"バックキャスティングは、未来の目標を設定し、そこから逆算して現在すべきことを考える思考法です。","バックキャスティング,経営戦略"
"ストラテジ","ST-038","従来の金融情報システムは堅ろう性が高い一方、柔軟性に欠け、モバイル技術などの情報革新に追従したサービスの迅速な提供が難しかった。 これを踏まえて, インターネット関連技術の取込みやそれらを活用するベンチャー企業と組むなどして, 新たな価値や革新的なサービスを提供していく潮流を表す用語として, 最も適切なものはどれか。","ア オムニチャネル","イ フィンテック","ウ ブロックチェーン","エ ワントゥワンマーケティング",2,"フィンテック（FinTech）は、金融（Finance）と技術（Technology）を組み合わせ、IT技術を活用した革新的な金融サービスを指します。","フィンテック,金融イノベーション"
"ストラテジ","ST-039","ベンチャーキャピタルに関する記述として, 最も適切なものはどれか。","ア 新しい技術の獲得や, 規模の経済性の追求などを目的に、他の企業と共同出資会社を設立する手法","イ 株式売却による利益獲得などを目的に、 新しい製品やサービスを武器に市場に参入しようとする企業に対して出資などを行う企業","ウ 新サービスや技術革新などの創出を目的に、国や学術機関, 他の企業など外部の組織と共創関係を結び, 積極的に技術や資源を交換し、自社に取り込む手法","エ 特定された課題の解決を目的に、 一定の期間を定めて企業内に立ち上げられ,構成員を関連部門から招集し, 目的が達成された時点で解散する組織",2,"ベンチャーキャピタル（VC）は、未上場のベンチャー企業に出資し、将来の株式売却益（キャピタルゲイン）を得ることを目的とする投資会社です。","ベンチャーキャピタル,投資"
"ストラテジ","ST-040","技術戦略の策定や技術開発の推進といった技術経営に直接の責任をもつ役職はどれか。","ア CEO","イ CFO","ウ COO","エ CTO",4,"CTO（最高技術責任者）は、企業の技術戦略や研究開発を統括する役職です。","CTO,経営組織"
"ストラテジ","ST-041","システム開発の上流工程において, 業務プロセスのモデリングを行う目的として, 最も適切なものはどれか。","ア 業務プロセスで取り扱う大量のデータを, 統計的手法や AI 手法などを用いて分析し, データ間の相関関係や隠れたパターンなどを見いだすため","イ 業務プロセスを可視化することによって, 適切なシステム設計のベースとなる情報を整備し, 関係者間で解釈を共有できるようにするため","ウ 個々の従業員がもっている業務に関する知識・経験やノウハウを社内全体で共有し, 創造的なアイディアを生み出すため","エ プロジェクトに必要な要員を調達し, チームとして組織化して,プロジェクトの目的の達成に向けて一致団結させるため",2,"業務プロセスのモデリングは、業務の流れを「見える化」し、関係者間の認識を統一することで、正確なシステム設計の基礎情報とするのが目的です。","業務モデリング,BPM"
"ストラテジ","ST-042","アライアンス(提携)に関する記述として, 最も適切なものはどれか。","ア 複数の企業が共同で出資して, 新しい会社を設立すること","イ 自社にない技術やノウハウを, 他社との提携によって補完し, 新事業の立ち上げなどを短期間で実現すること","ウ 他社の株式を取得して, その会社の経営権を取得すること","エ ベンチャー企業に対して出資し, 経営に関する助言などを行うこと",2,"アライアンス（提携）は、複数の企業が互いの利益のために協力関係を結ぶことで、M&Aのような合併・買収とは異なります。","アライアンス,経営戦略"
"ストラテジ","ST-043","企業の戦略立案やマーケティングなどで使用されるフェルミ推定に関する記述として,最も適切なものはどれか。","ア 正確に算出することが極めて難しい数量に対して, 把握している情報と論理的な思考プロセスによって概数を求める手法である。","イ 特定の集団と活動を共にしたり, 人々の動きを観察したりすることによって, 慣習や嗜好、地域や組織を取り巻く文化を類推する手法である。","ウ 入力データと出力データから,その因果関係を統計的に推定する手法である。","エ 有識者のグループに繰り返し同一のアンケート調査とその結果のフィードバックを行うことによって, ある分野の将来予測に関する総意を得る手法である。",1,"フェルミ推定は、正確な把握が難しい数量を、既知の情報と論理的な推論を組み合わせて概算する思考法です。","フェルミ推定,ロジカルシンキング"
"ストラテジ","ST-044","不正競争防止法で規定されている限定提供データに関する記述として,最も適切なものはどれか。","ア 特定の第三者に対し, 1回に限定して提供する前提で保管されている技術上又は営業上の情報は限定提供データである。","イ 特定の第三者に提供する情報として電磁的方法によって相当量蓄積され管理されている技術上又は営業上の情報 (秘密として管理されているものを除く)は限定提供データである。","ウ 特定の第三者に提供するために, 金庫などで物理的に管理されている技術上又は営業上の情報は限定提供データである。","エ 不正競争防止法に定めのある営業秘密は限定提供データである。",2,"限定提供データは、不正競争防止法で定義され、「特定提供」「電磁的管理」「相当蓄積」（秘密管理性を除く）の要件を満たす営業上・技術上の情報です。","不正競争防止法,限定提供データ"
"ストラテジ","ST-045","品質に関する組織やプロセスの運営管理を標準化し, マネジメントの質や効率の向上を目的とした方策として, 適切なものはどれか。","ア ISMSの導入","イ ISO 9001の導入","ウ ITIL の導入","エ プライバシーマークの取得",2,"ISO 9001は、品質マネジメントシステムの国際規格で、組織の品質管理プロセス標準化による品質向上を目的とします。","ISO 9001,品質管理"
"ストラテジ","ST-046","AI に関するガイドラインの一つである“人間中心の AI 社会原則” に定められている七つの “AI 社会原則” のうち,“イノベーションの原則” に関する記述として, 最も適切なものはどれか。","ア AI の発展によって人も併せて進化するように, 国際化や多様化を推進し, 大学, 研究機関, 企業など, 官民における連携と, 柔軟な人材の移動を促進する。","イ AI の利用がもたらす結果については,問題の特性に応じて, AI の開発, 提供, 利用に携わった関係者が分担して責任を負う。","ウ サービスの提供者は, AI を利用している事実やデータの取得方法や使用方法, 結果の適切性について、 利用者に対する適切な説明を行う。","エ 情報弱者を生み出さないために, 幼児教育や初等中等教育において, AI 活用や情報リテラシーに関する教育を行う。",1,"「人間中心のAI社会原則」の「イノベーションの原則」は、AIの研究開発促進、国際連携、人材育成などを推進する内容です。","AI社会原則,AIガイドライン"
"ストラテジ","ST-047","金融機関では,同一の顧客で複数の口座をもつ個人や法人について, 氏名又は法人名,生年月日又は設立年月日、電話番号、住所又は所在地などを手掛かりに集約し顧客ごとの預金の総額を正確に把握する作業が行われる。 このように顧客がもつ複数の口座を、顧客ごとに取りまとめて一元管理する手続を表す用語として, 最も適切なものはどれか。","ア アカウントアグリゲーション","イ キーマッピング","ウ 垂直統合","エ 名寄せ",4,"名寄せ（なよせ）は、複数のリストに分散する同一人物や企業の情報を、氏名や住所などを手掛かりに照合し、一つにまとめる作業です。","名寄せ,データクレンジング"
"ストラテジ","ST-048","ある商品の販売量と気温の関係が一次式で近似できるとき,予測した気温から商品の販売量を推定する手法として、 適切なものはどれか。","ア 回帰分析","イ 線形計画法","ウ デルファイ法","エ パレート分析",1,"回帰分析は、変数間の関係を数式（回帰式）で表し、ある変数の値から別の変数の値を予測する統計手法です。一次式で近似できる場合は線形回帰分析を用います。","回帰分析,統計"
"ストラテジ","ST-049","必要な時期に必要な量の原材料や部品を調達することによって, 工程間の在庫をできるだけもたないようにする生産方式はどれか。","ア BPO","イ CIM","ウ JIT","エ OEM",3,"JIT（ジャストインタイム）は、「必要なものを、必要なときに、必要な量だけ」生産・調達し、在庫を極力持たないことを目指す生産方式です。","JIT,生産管理"
"ストラテジ","ST-050","RPA が適用できる業務として, 最も適切なものはどれか。","ア ゲームソフトのベンダーが, ゲームソフトのプログラムを自動で改善する業務","イ 従業員の交通費精算で,交通機関利用区間情報と領収書データから精算伝票を作成する業務","ウ 食品加工工場で、 産業用ロボットを用いて冷凍食品を自動で製造する業務","エ 通信販売業で, 膨大な顧客の購買データから顧客の購買行動に関する新たな法則を見つける業務",2,"RPAは、PC上のルール化された定型作業の自動化に適しています。イの交通費精算におけるデータ入力や伝票作成は典型的な適用例です。","RPA,業務自動化"
