"ID","Question","Option1","Option2","Option3","Option4","Answer","Explanation"
17,"Web サービスを狙った攻撃に関する記述と攻撃の名称の適切な組合せはどれか。 a Web サービスが利用しているソフトウェアに脆弱性の存在が判明したとき,その修正プログラムが提供される前に、この脆弱性を突いて攻撃する。 b 複数のコンピュータから大量のパケットを一斉に送り付けることによって, Web サービスを正常に提供できなくさせる。 c 理論的にあり得るパスワードのパターンを順次試すことによって, 正しいパスワードを見つけ, 攻撃対象の Web サービスに侵入する。","ア DDoS 攻撃 ゼロデイ攻撃 ブルートフォース攻撃","イ DDoS 攻撃 ブルートフォース攻撃 ゼロデイ攻撃","ウ ゼロデイ攻撃 DDoS 攻撃 ブルートフォース攻撃","エ ゼロデイ攻撃 ブルートフォース攻撃 DDoS 攻撃",3,"（解説なし）"
18,"デジタルフォレンジックスの説明として、 適切なものはどれか。","ア コンピュータに関する犯罪や法的紛争が生じた際に, コンピュータから削除された電子メールを復元するなどして,証拠を収集し保全すること","イ システムを実際に攻撃して脆弱性の有無を調べること","ウ 通信経路を暗号化するなどして, 公衆回線をあたかも専用回線であるかのように利用すること","エ 電子メールやファイルなどのハッシュデータを本人の秘密鍵で暗号化すること",1,"（解説なし）"
19,"次の記憶媒体のうち, 記憶素子として半導体メモリを用いているものだけを全て挙げたものはどれか。 a CD-ROM b DVD-RAM c RAM d SSD e USB メモリ","ア a, b, c","イ a, b, e","ウ c, d, e","エ a,b, c, d, e",3,"（解説なし）"
20,"ネットワークやホストを監視することによって, 不正アクセスや不審な通信を発見し, 報告する仕組みはどれか。","ア DMZ","イ IDS","ウ アンチパスバック","エ ボット",2,"（解説なし）"
21,"サムネイルの説明として、 適切なものはどれか。","ア 画像や文書ファイルの内容を縮小して表示したもの","イ 処理の内容や対象が分かる小さな絵や記号のこと","ウ ネット上で利用者の分身として動作するキャラクターのこと","エ 複数のファイルを一つのファイルにまとめたもの",1,"（解説なし）"
22,"AI において,広範囲かつ大量のデータで訓練されたものであり, ファインチューニングなどによって文章生成AIのような様々な用途に適応できる特徴をもつものを何というか。","ア アノテーション","イ エキスパートシステム","ウ 基盤モデル","エ 畳み込みニューラルネットワーク",3,"（解説なし）"
23,"イメージスキャナーで読み取った紙の書類の画像から, 印刷文字や手書きの文字を読み取り, テキストデータに変換する技術を何と呼ぶか。","ア CCD","イ DVI","ウ GPU","エ OCR",4,"（解説なし）"
24,"あるコンピュータのデータベースの内容を他のコンピュータのデータベースに複製して, 両者の内容が一致するように同期させる DBMS の機能はどれか。","ア アーカイブ","イ バックアップ","ウ レプリケーション","エ ロールバック",3,"（解説なし）"
25,"ISMSの運用に PDCA モデルを採用している組織において, サーバ監視に関する次の作業を実施する。 各作業と PDCA モデルの各フェーズの組合せとして, 適切なものはどれか。 [作業〕 (1) サーバ監視の具体的な目的及び手順を定める。 (2) サーバ監視の作業内容を第三者が客観的に評価する。 (3) 定められている手順に従ってサーバを監視する。 (4) 発見された問題点の是正処置として, サーバの監視方法を変更する。","ア P(1) D(2) C(3) A(4)","イ P(1) D(2) C(4) A(3)","ウ P(1) D(3) C(2) A(4)","エ P(1) D(3) C(4) A(2)",3,"（解説なし）"
26,"ISMSにおける情報セキュリティ方針に関する記述として、 適切なものはどれか。","ア 機密事項が記載されているので, 伝達する範囲を社内に限定する必要がある。","イ 情報セキュリティ対策は一度実施したら終わりではないので, ISMS を継続的に改善するコミットメントを含める必要がある。","ウ 部門の特性に応じて最適化するので, ISMS を適用する組織全体ではなく,部門ごとに定める必要がある。","エ ボトムアップを前提としているので,各職場の管理者によって承認される必要がある。",2,"（解説なし）"
27,"問題を解いて解答群の中から正解を選ぶ, ある AI システムがある。 このシステムは、1回の学習の過程を経るごとに, 学習の過程の前後の比較において, 誤り率が5%低下する(前回の誤り率の95%になる)。 現在の正解率が30%であるとき, 正解率が35%を超えるためには, 少なくともあと何回の学習の過程が必要か。","ア 1","イ 2","ウ 3","エ 4",2,"（解説なし）"
28,"動物が写っている大量の画像から犬や猫などの特徴を自動的に抽出して, 動物の種類を識別できるようにする AI の技術はどれか。","ア e-ラーニング","イ アクティブラーニング","ウ アダプティブラーニング","エ ディープラーニング",4,"（解説なし）"
29,"PKI において, ある条件に当てはまるデジタル証明書の情報が公開されているリストとして CRL がある。 このリストに掲載される条件として、 適切なものはどれか。","ア 有効期間が満了している。","イ 有効期間が無期限である。","ウ 有効期間内に失効している。","エ 有効期間を延長している。",3,"（解説なし）"
30,"情報セキュリティ対策を, “技術的セキュリティ対策”, “人的セキュリティ対策”及び “物理的セキュリティ対策” に分類したとき, “物理的セキュリティ対策” の例として,適切なものはどれか。","ア 業務に関係のない掲示板やSNSなどへの従業員による書込み, 閲覧を防止するために, Web サーバへのアクセスログを取得し, 必要に応じて通信を遮断する。","イ サーバ室,執務室などの場所ごとにセキュリティレベルを設定し, 従業員ごとのアクセス権が付与されたICカードで入退室管理を行う。","ウ 従業員の採用時には, 守秘義務に関する契約書を取り交わし, 在籍中は機密情報の取扱いに関する教育, 啓発を実施する。","エ 退職者が,在籍中のアカウントを用いた不正アクセスを行わないように, 従業員の退職時にアカウントを削除する。",2,"（解説なし）"
31,"A さんは, Bさんから次の4種類のメッセージを受け取った。 Aさんが, 受け取ったメッセージを復号して読むことができるものだけを全て挙げたものはどれか。 a AさんとBさんとの共通鍵で暗号化したメッセージ b Aさんの公開鍵で暗号化したメッセージ c Bさんの公開鍵で暗号化したメッセージ d Bさんの秘密鍵で暗号化したメッセージ","ア a, b","イ a, c","ウ b, d","エ c, d",1,"（解説なし）"
32,"無線 LAN のセキュリティ対策に関する記述として, 適切なものはどれか。","ア API は,複数のアクセスポイントをグループ化して管理する ID である。","イ SSH は,アクセスポイントをステルス化することで無線LAN ネットワークを隠蔽する機能である。","ウ VPN は,アクセスポイントに登録した MAC アドレスをもつ機器以外からの接続を拒否する機能である。","エ WPA2は, WEPよりも高い信頼性をもつ, 無線通信の暗号化技術である。",4,"（解説なし）"
33,"情報セキュリティのリスクマネジメントにおけるリスク対応を, リスク移転, リスク回避, リスク低減及びリスク保有の四つに分けて実施することにしたとき,これらに関する記述として, 適切なものはどれか。","ア リスク対応の実施手順であり, リスク回避, リスク移転, リスク低減, リスク保有の順番で進める。","イ リスク対応の実施手順であり, リスク保有, リスク低減, リスク移転, リスク回避の順番で進める。","ウ リスク対応の選択肢であり、管理対象としたリスクの顕在化に備えて保険を掛けておくことは、リスク回避に該当する。","エ リスク対応の選択肢であり,ノート PC の紛失や盗難に備えて社外への持出しをより厳重に管理することは, リスク低減に該当する。",4,"（解説なし）"
34,"従業員が使用する PC がランサムウェアに感染した場合の損害を軽減する対策例として、 適切なものはどれか。","ア PC が接続するファイルサーバの HDD のバックアップデータを定期的に取得し, ネットワークから切り離して保管する。","イ PC に多要素認証の仕組みを導入する。","ウ PC の HDD を暗号化する。","エ PC へのログイン時に, パスワードを複数回間違えたら,当該 ID をロックする。",1,"（解説なし）"
35,"情報セキュリティにおける脅威の説明として、 適切なものはどれか。","ア 攻撃者が付け込むことのできる情報システムの弱点","イ 情報資産が被害に遭う確率と被害規模の組合せ","ウ 情報資産に損害を与える原因となるもの","エ 情報システムの弱点を利用した攻撃によって被害を受ける可能性",3,"（解説なし）"
36,"稼働率0.9の装置で並列システムを構成したい。 このシステムの稼働率を0.999とするためには,最低何台の装置で並列システムを構成する必要があるか。 ここで,並列システムを構成したときに, 少なくとも1台の装置が稼働していればシステムは正常に稼働しているものとする。","ア 2","イ 3","ウ 4","エ 5",2,"（解説なし）"
37,"データベース設計におけるデータ分析で行うこととして、 適切なものはどれか。","ア データウェアハウスから業務ごとに必要な情報を抽出する。","イ データ項目の内容が, 指定された条件を満足する行だけを抽出する。","ウ 必要なデータ項目を洗い出し、 項目間の関連を整理する。","エ 膨大な情報から統計的手法などを用いて, ビジネスに活用できる情報を探索する。",3,"（解説なし）"
38,"OSS (Open Source Software) に関する次の記述のうち, 適切なものだけを全て挙げたものはどれか。 a 個人だけではなく、 企業や団体が開発したソフトウェアもある。 b 著作権が放棄されている。 c 入手したソフトウェアは,自由に再配布してもよい。","ア a, b","イ a, b, c","ウ a, c","エ b, c",3,"（解説なし）"
39,"情報セキュリティにおいて, 可用性が損なわれた事象だけを全て挙げたものはどれか。 a 関連取引先との電子決済システムがDoS攻撃を受け, 処理ができなくなった。 b 顧客情報管理システムの顧客情報が誤った内容のまま運用されていた。 c 社内のサーバに不正侵入されて, 社外秘の情報が漏えいした。","ア a","イ a, b","ウ b, c","エ c",1,"（解説なし）"
40,"PC において, 電力供給を断つと記憶内容が失われるメモリ又は記憶媒体はどれか。","ア DVD-RAM","イ DRAM","ウ ROM","エ フラッシュメモリ",2,"（解説なし）"
41,"暗号化方式の特徴について記した表において, 表中の a〜d に入れる字句の適切な組合せはどれか。 暗号方式 a: 暗号化鍵と復号鍵が異なる, 鍵の安全な配布 容易, 相対的な処理速度 c / 暗号方式 b: 暗号化鍵と復号鍵が同一, 鍵の安全な配布 難しい, 相対的な処理速度 d","ア 共通鍵暗号方式 公開鍵暗号方式 遅い 速い","イ 共通鍵暗号方式 公開鍵暗号方式 速い 遅い","ウ 公開鍵暗号方式 共通鍵暗号方式 遅い 速い","エ 公開鍵暗号方式 共通鍵暗号方式 速い 遅い",3,"（解説なし）"
42,"文書作成ソフトや表計算ソフトなどにおいて, 一連の操作手順をあらかじめ定義しておき, 実行する機能はどれか。","ア オートコンプリート","イ ソースコード","ウ プラグアンドプレイ","エ マクロ",4,"（解説なし）"
43,"OCRの役割として,適切なものはどれか。","ア 10cm程度の近距離にある機器間で無線通信する。","イ 印刷文字や手書き文字を認識し, テキストデータに変換する。","ウ デジタル信号処理によって, 人工的に音声を作り出す。","エ 利用者の指先などが触れたパネル上の位置を検出する。",2,"（解説なし）"
44,"cookie を説明したものはどれか。","ア Web サイトが, Web ブラウザを通じて訪問者のPCにデータを書き込んで保存する仕組み又は保存されるデータのこと","イ Web ブラウザが, アクセスした Web ページをファイルとして PC のハードディスクに一時的に保存する仕組み又は保存されるファイルのこと","ウ Web ページ上で, Web サイトの紹介などを目的に掲載されている画像のこと","エ ブログの機能の一つで、リンクを張った相手に対してその旨を通知する仕組みのこと",1,"（解説なし）"
45,"SSD の全てのデータを消去し、 復元できなくする方法として用いられているものはどれか。","ア Secure Erase","イ 磁気消去","ウ セキュアブート","エ データクレンジング",1,"（解説なし）"
46,"情報セキュリティのリスクマネジメントにおけるリスクへの対応を, リスク共有,リスク回避, リスク保有及びリスク低減の四つに分類するとき,リスク共有の例として,適切なものはどれか。","ア 災害によるシステムの停止時間を短くするために, 遠隔地にバックアップセンターを設置する。","イ 情報漏えいによって発生する損害賠償や事故処理の損失補填のために, サイバー保険に加入する。","ウ 電子メールによる機密ファイルの流出を防ぐために, ファイルを添付した電子メールの送信には上司の許可を必要とする仕組みにする。","エ ノートPCの紛失や盗難による情報漏えいを防ぐために, HDD を暗号化する。",2,"（解説なし）"
47,"AI における機械学習の学習方法に関する次の記述中の ac に入れる字句の適切な組合せはどれか。 教師あり学習は,正解を付けた学習データを入力することによって, a と呼ばれる手法で未知のデータを複数のクラスに分けたり, b と呼ばれる手法でデータの関係性を見つけたりすることができるようになる学習方法である。 教師なし学習は,正解を付けない学習データを入力することによって, c と呼ばれる手法などで次第にデータを正しくグループ分けできるようになる学習方法である。","ア 回帰 分類 クラスタリング","イ クラスタリング 分類 回帰","ウ 分類 回帰 クラスタリング","エ 分類 クラスタリング 回帰",3,"（解説なし）"
48,"PKI における CA (Certificate Authority) の役割に関する記述として適切なものはどれか。","ア インターネットと内部ネットワークの間にあって, 内部ネットワーク上のコンピュータに代わってインターネットにアクセスする。","イ インターネットと内部ネットワークの間にあって, パケットフィルタリング機能などを用いてインターネットから内部ネットワークへの不正アクセスを防ぐ。","ウ 利用者に指定されたドメイン名を基に IP アドレスとドメイン名の対応付けを行い、利用者を目的のサーバにアクセスさせる。","エ 利用者の公開鍵に対する公開鍵証明書の発行や失効を行い, 鍵の正当性を保証する。",4,"（解説なし）"
49,"情報デザインで用いられる概念であり, 部屋のドアノブの形で開閉の仕方を示唆するというような, 人間の適切な行動を誘発する知覚可能な手掛かりのことを何と呼ぶか。","ア NUI (Natural User Interface)","イ ウィザード","ウ シグニファイア","エ マルチタッチ",3,"（解説なし）"
50,"障害に備えるために, 4台のHDD を使い, 1台分の容量をパリティ情報の記録に使用する RAID5を構成する。 1台のHDDの容量が1Tバイトのとき, 実効データ容量はおよそ何バイトか。","ア 2T","イ 3T","ウ 4T","エ 5T",2,"（解説なし）"
51,"ESSID をステルス化することによって得られる効果として,適切なものはどれか。","ア アクセスポイントと端末間の通信を暗号化できる。","イ アクセスポイントに接続してくる端末を認証できる。","ウ アクセスポイントへの不正接続リスクを低減できる。","エ アクセスポイントを介さず, 端末同士で直接通信できる。",3,"（解説なし）"
52,"インターネットで使用されているドメイン名の説明として, 適切なものはどれか。","ア Web 閲覧や電子メールを送受信するアプリケーションが使用する通信規約の名前","イ コンピュータやネットワークなどを識別するための名前","ウ 通信を行うアプリケーションを識別するための名前","エ 電子メールの宛先として指定する相手の名前",2,"（解説なし）"
53,"次の記述のうち, バイオメトリクス認証の例だけを全て挙げたものはどれか。 a Web ページに歪んだ文字の列から成る画像を表示し, 読み取った文字列を利用者に入力させることによって, 認証を行う。 b キーボードで特定文字列を入力させ,そのときの打鍵の速度やタイミングの変化によって, 認証を行う。 c タッチパネルに手書きで氏名を入力させ,そのときの筆跡,筆圧,運筆速度などによって, 認証を行う。 d タッチパネルに表示された複数の点をあらかじめ決められた順になぞらせることによって, 認証を行う。","ア a, b","イ a, d","ウ b, c","エ c, d",3,"（解説なし）"
54,"IoT 機器のセキュリティ対策のうち, ソーシャルエンジニアリング対策として 最も適切なものはどれか。","ア IoT 機器とサーバとの通信は, 盗聴を防止するために常に暗号化通信で行う。","イ IoT 機器の脆弱性を突いた攻撃を防止するために, 機器のメーカーから最新のファームウェアを入手してアップデートを行う。","ウ IoT 機器へのマルウェア感染を防止するためにマルウェア対策ソフトを導入する。","エ IoT 機器を廃棄するときは, 内蔵されている記憶装置からの情報漏えいを防止するために物理的に破壊する。",4,"（解説なし）"
55,"トランザクション処理に関する記述のうち, 適切なものはどれか。","ア コミットとは, トランザクションが正常に処理されなかったときに, データベースをトランザクション開始前の状態に戻すことである。","イ 排他制御とは, トランザクションが正常に処理されたときに, データベースの内容を確定させることである。","ウ ロールバックとは、複数のトランザクションが同時に同一データを更新しようとしたときに, データの矛盾が起きないようにすることである。","エ ログとは,データベースの更新履歴を記録したファイルのことである。",4,"（解説なし）"
56,"情報セキュリティの3要素である機密性, 完全性及び可用性と,それらを確保するための対策の例 a〜c の適切な組合せはどれか。 a アクセス制御 b デジタル署名 c ディスクの二重化","ア 可用性 完全性 機密性","イ 可用性 機密性 完全性","ウ 完全性 機密性 可用性","エ 機密性 完全性 可用性",4,"（解説なし）"
57,"スマートフォンなどのタッチパネルで広く採用されている方式であり,指がタッチパネルの表面に近づいたときに、 その位置を検出する方式はどれか。","ア 感圧式","イ 光学式","ウ 静電容量方式","エ 電磁誘導方式",3,"（解説なし）"
58,"出所が不明のプログラムファイルの使用を避けるために, その発行元を調べたい。このときに確認する情報として, 適切なものはどれか。","ア そのプログラムファイルのアクセス権","イ そのプログラムファイルの所有者情報","ウ そのプログラムファイルのデジタル署名","エ そのプログラムファイルのハッシュ値",3,"（解説なし）"
59,"利用者がスマートスピーカーに向けて話し掛けた内容に対して, スマートスピーカーから音声で応答するための処理手順が (1) ~ (4) のとおりであるとき, 音声認識に該当する処理はどれか。 (1) 利用者の音声をテキストデータに変換する。 (2) テキストデータを解析して, その意味を理解する。 (3) 応答する内容を決定して, テキストデータを生成する。 (4) 生成したテキストデータを読み上げる。","ア (1)","イ (2)","ウ (3)","エ (4)",1,"（解説なし）"
60,"企業などの内部ネットワークとインターネットとの間にあって, セキュリティを確保するために内部ネットワークの PC に代わって, インターネット上の Web サーバにアクセスするものはどれか。","ア DNS サーバ","イ NTP サーバ","ウ ストリーミングサーバ","エ プロキシサーバ",4,"（解説なし）"
61,"OSS (Open Source Software) に関する記述として, 適切なものだけを全て挙げたものはどれか。 a OSS を利用して作成したソフトウェアを販売することができる。 b ソースコードが公開されたソフトウェアは全てOSS である。 c 著作権が放棄されているソフトウェアである。","ア a","イ a, b","ウ b, c","エ c",1,"（解説なし）"
62,"ISMS クラウドセキュリティ認証に関する記述として, 適切なものはどれか。","ア 一度認証するだけで, 複数のクラウドサービスやシステムなどを利用できるようにする認証の仕組み","イ クラウドサービスについて, クラウドサービス固有の管理策が実施されていることを認証する制度","ウ 個人情報について適切な保護措置を講ずる体制を整備しているクラウド事業者などを評価して, 事業活動に関してプライバシーマークの使用を認める制度","エ 利用者がクラウドサービスへログインするときの環境, IP アドレスなどに基づいて状況を分析し, リスクが高いと判断された場合に追加の認証を行う仕組み",2,"（解説なし）"
63,"1から6までの六つの目をもつサイコロを3回投げたとき, 1回も1の目が出ない確率は幾らか。","ア 1/216","イ 5/72","ウ 91/216","エ 125/216",4,"（解説なし）"
64,"IoT エリアネットワークでも利用され, IoT デバイスからの無線通信をほかの IoTデバイスが中継することを繰り返し, リレー方式で通信をすることによって広範囲の通信を実現する技術はどれか。","ア GPS","イ MIMO","ウ キャリアアグリゲーション","エ マルチホップ",4,"（解説なし）"
65,"PDCA モデルに基づいて ISMS を運用している組織において, C (Check) で実施することの例として, 適切なものはどれか。","ア 業務内容の監査結果に基づいた是正処置として, サーバの監視方法を変更する。","イ 具体的な対策と目標を決めるために, サーバ室内の情報資産を洗い出す。","ウ サーバ管理者の業務内容を第三者が客観的に評価する。","エ 定められた運用手順に従ってサーバの動作を監視する。",3,"（解説なし）"
66,"通常の検索エンジンでは検索されず匿名性が高いので, サイバー攻撃や違法商品の取引などにも利用されることがあり,アクセスするには特殊なソフトウェアが必要になることもあるインターネット上のコンテンツの総称を何と呼ぶか。","ア RSS","イ SEO","ウ クロスサイトスクリプティング","エ ダークウェブ",4,"（解説なし）"
67,"JavaScript に関する記述として、 適切なものはどれか。","ア Web ブラウザ上に, 動的な振る舞いなどを組み込むことができる。","イ Web ブラウザではなく, Web サーバ上だけで動作する。","ウ 実行するためには, あらかじめコンパイルする必要がある。","エ 名前のとおり, Javaのスクリプト版である。",1,"（解説なし）"
68,"システムの利用者認証に関する記述のうち, 適切なものはどれか。","ア 1回の認証で, 複数のサーバやアプリケーションなどへのログインを実現する仕組みを,チャレンジレスポンス認証という。","イ 指紋や声紋など, 身体的な特徴を利用して本人認証を行う仕組みを, シングルサインオンという。","ウ 情報システムが利用者の本人確認のために用いる, 数字列から成る暗証番号のことを, PIN という。","エ 特定の数字や文字の並びではなく, 位置についての情報を覚えておき、 認証時には画面に表示された表の中で, 自分が覚えている位置に並んでいる数字や文字をパスワードとして入力する方式を, 多要素認証という。",3,"（解説なし）"
69,"セキュリティ対策として使用される WAF の説明として、 適切なものはどれか。","ア EC などの Web サイトにおいて, Web アプリケーションソフトウェアの脆弱性を突いた攻撃からの防御や、不審なアクセスのパターンを検知する仕組み","イ インターネットなどの公共のネットワークを用いて, 専用線のようなセキュアな通信環境を実現する仕組み","ウ 情報システムにおいて, 機密データを特定して監視することによって, 機密データの紛失や外部への漏えいを防止する仕組み","エ ファイアウォールを用いて, インターネットと企業の内部ネットワークとの間に緩衝領域を作る仕組み",1,"（解説なし）"
70,"職場で不要になった PC を廃棄する場合の情報漏えい対策として、最も適切なものはどれか。","ア OS が用意しているファイル削除の機能を使って, PC 内のデータファイルを全て削除する。","イ PC にインストールされているアプリケーションを、全てアンインストールする。","ウ PC に内蔵されている全ての記憶装置を論理フォーマットする。","エ 専用ソフトなどを使って, PC に内蔵されている全ての記憶装置の内容を消去するために, ランダムなデータを規定回数だけ上書きする。",4,"（解説なし）"
71,"インターネットに接続されているサーバが, 1台でメール送受信機能と Web アクセス機能の両方を提供しているとき,端末のアプリケーションプログラムがそのどちらの機能を利用するかをサーバに指定するために用いるものはどれか。","ア IP アドレス","イ ドメイン","ウ ポート番号","エ ホスト名",3,"（解説なし）"
72,"関係データベースで管理している “従業員” 表から、氏名が '%葉 _' に該当する従業員を抽出した。 抽出された従業員は何名か。 ここで, ""%"" は0文字以上の任意の文字列を表し, ""_"" は任意の1文字を表すものとする。","ア 1","イ 2","ウ 3","エ 4",2,"（解説なし）"
73,"企業において情報セキュリティポリシー策定で行う作業のうち, 次の作業の実施順序として,適切なものはどれか。 a 策定する責任者や担当者を決定する。 b 情報セキュリティ対策の基本方針を策定する。 c 保有する情報資産を洗い出し, 分類する。 d リスクを分析する。","ア a → b → c → d","イ a → b → d → c","ウ b → a → c → d","エ b → a → d → c",1,"（解説なし）"
74,"AI の関連技術であるディープラーニングに用いられる技術として, 最も適切なものはどれか。","ア ソーシャルネットワーク","イ ニューラルネットワーク","ウ フィージビリティスタディ","エ フォールトトレラント",2,"（解説なし）"
75,"A さんは次のように宛先を指定して電子メールを送信した。 この電子メールの受信者に関する記述のうち, 適切なものだけを全て挙げたものはどれか。 [宛先] To: B さんのメールアドレス Cc: Cさんのメールアドレス Bcc: D さんのメールアドレス, Eさんのメールアドレス (1) CさんはDさんのメールアドレスを知ることができる。 (2) DさんはCさんのメールアドレスを知ることができる。 (3) EさんはDさんのメールアドレスを知ることができる。","ア (1)","イ (1),(3)","ウ (2)","エ (2), (3)",3,"（解説なし）"
76,"次の OS のうち, OSS (Open Source Software) として提供されるものだけを全て挙げたものはどれか。 a Android b FreeBSD c iOS d Linux","ア a, b","イ a, b, d","ウ b, d","エ c, d",2,"（解説なし）"
77,"ランサムウェアに関する記述として,最も適切なものはどれか。","ア PC に外部から不正にログインするための侵入路をひそかに設置する。","イ PC のファイルを勝手に暗号化し, 復号のためのキーを提供することなどを条件に金銭を要求する。","ウ Web ブラウザを乗っ取り、 オンラインバンキングなどの通信に割り込んで不正送金などを行う。","エ 自らネットワークを経由して感染を広げる機能をもち, まん延していく。",2,"（解説なし）"
78,"GPS の電波を捕捉しにくいビルの谷間や狭い路地などでも位置を計測することができるように,特定の地域の上空に比較的長く留まる軌道をとり, GPS と併用することによって,より高い測位精度を実現するものはどれか。","ア アシスト GPS","イ ジャイロセンサー","ウ 準天頂衛星","エ プローブカー",3,"（解説なし）"
