id,question,option1,option2,option3,option4,answerIndex,explanation,tags
stg-026,"ディスラプティブ(破壊的)イノベーションの初期特徴はどれか？","高価格・高性能","低価格・十分条件性能","高シェア","高利益",2,"初期は十分性能で低価格が多い。","ストラテジ"
stg-027,"VRIOのOは何を指す？","最適化","組織","機会","目的",2,"VRIOは価値・希少性・模倣困難性・組織。","ストラテジ"
stg-028,"コアコンピタンスの条件に近いものはどれか？","容易に模倣可能","顧客価値へ寄与","短期的のみ有効","単独製品のみに適用",2,"顧客価値・多市場適用・模倣困難。","ストラテジ"
stg-029,"事業ポートフォリオ最適化の狙いはどれか？","集中と分散のバランス","単一事業集中","事業乱立","短期利益偏重",1,"全体のリスク・リターン最適化。","ストラテジ"
stg-030,"データ駆動型経営で重要な基盤はどれか？","勘と経験","データガバナンス","紙の帳票","個人メモ",2,"品質・権限・標準を定める枠組み。","ストラテジ"
mgt-001,"WBSの目的はどれか？","作業の階層的分解","コストの最終確定","人事評価","設備投資計画",1,"成果物ベースで作業を分解。","マネジメント"
mgt-002,"クリティカルパス法で重要なのはどれか？","最短完了経路の特定","最安コスト算出","品質検査の自動化","欠員補充",1,"遅延が全体に影響する経路。","マネジメント"
mgt-003,"ガントチャートの長所はどれか？","コスト把握","スケジュール可視化","品質保証","リスク回避",2,"工程の見える化が容易。","マネジメント"
mgt-004,"EVMのCPIが1未満の意味は？","コスト効率良好","コスト超過","進捗良好","品質過剰",2,"実績コストが計画より高い。","マネジメント"
mgt-005,"リスク対応で回避の例はどれか？","保険加入","契約の見直しで原因を断つ","外部委託","監視強化",2,"発生源を断ってリスクを無くす。","マネジメント"
mgt-006,"ステークホルダー登録簿の目的は？","要員配備","関係者の期待と影響把握","コスト集計","品質測定",2,"利害関係者情報の集約。","マネジメント"
mgt-007,"品質マネジメントでの品質保証(QA)の役割は？","検査実施","プロセスの仕組みづくり","欠陥修理","顧客交渉",2,"品質を作り込むプロセス保証。","マネジメント"
mgt-008,"変更管理の基本原則は？","即時実施","書面化と承認","担当者裁量","暗黙運用",2,"変更は記録と承認が必須。","マネジメント"
mgt-009,"アジャイルのタイムボックスで正しいのは？","期限を柔軟に延長","固定時間枠で進める","完了まで無期限","人員で調整",2,"固定時間内で価値を出す。","マネジメント"
mgt-010,"スクラムのイベントでないものは？","スプリントプランニング","デイリースクラム","スプリントレビュー","品質審査会",4,"品質審査会は標準イベントではない。","マネジメント"
mgt-011,"バーンダウンチャートが示すのは？","残作業量の推移","テスト合格率","コスト差異","在庫回転",1,"残タスクの減り具合を可視化。","マネジメント"
mgt-012,"リソース平準化の目的は？","コスト最小化","負荷の波をならす","品質最大化","範囲拡大",2,"過負荷と遊休の平準化。","マネジメント"
mgt-013,"コミュニケーション計画で重要なのは？","形式のみ定義","誰に何をいつどう伝えるか","会議室の予約","議事録の装飾",2,"対象・内容・頻度・手段を定義。","マネジメント"
mgt-014,"RACIのAは何か？","実行者","説明責任者","協力者","情報共有先",2,"Accountable=最終責任者。","マネジメント"
mgt-015,"スコープクリープを防ぐには？","受け入れ続ける","変更管理を徹底","仕様を口頭合意","都度調整",2,"変更は審査・承認のプロセスで管理。","マネジメント"
mgt-016,"KPTのTは何か？","Try","Tell","Test","Trust",1,"Keep/Problem/TryのTry。","マネジメント"
mgt-017,"リーンのムダに含まれないものは？","待ち","動作","過剰生産","品質",4,"品質はムダでなく価値。","マネジメント"
mgt-018,"クリティカルチェーンで重視するのは？","安全余裕のバッファ管理","最長経路のみ","コスト差異のみ","品質検査数",1,"バッファを集中管理。","マネジメント"
mgt-019,"教訓管理(レッスンラーニド)の主目的は？","個人評価","再発防止と知見共有","在庫削減","コスト削減のみ",2,"知識の組織化で改善。","マネジメント"
mgt-020,"リスク登録簿に含まれる項目は？","氏名のみ","識別子・原因・影響・対応","給与情報","契約金額",2,"リスクの基本属性と対応が入る。","マネジメント"
mgt-021,"PMBOKの知識エリアに含まれないものは？","スコープ","調達","人的資源","法務",4,"法務は独立エリアではない。","マネジメント"
mgt-022,"品質管理七つ道具に含まれるのは？","散布図","DFMEA","PERT","EVM",1,"パレート図等と並ぶ代表ツール。","マネジメント"
mgt-023,"コンフィギュレーション管理の対象は？","契約金額","成果物とその版数","会議室","採用計画",2,"成果物の識別・版・変更の管理。","マネジメント"
mgt-024,"要求トレーサビリティの目的は？","コスト算出","要求と成果物の対応追跡","品質検査","契約締結",2,"要求の流れを追えるようにする。","マネジメント"
mgt-025,"キックオフの主目的は？","打上げ","共通認識の形成","テスト実施","運用移行",2,"目的・方針・役割の共有。","マネジメント"
mgt-026,"利害対立時の交渉術でWIN-WINに有効なのは？","立場の主張","利害の分解と代替案","感情的反論","決裂覚悟",2,"利害に着目し選択肢を広げる。","マネジメント"
mgt-027,"バーンアップチャートが可視化するものは？","完了量の推移","欠陥数","コスト超過","在庫量",1,"完了済み作業の増加を表示。","マネジメント"
mgt-028,"SLAで定義するのは？","売上目標","サービス水準と責任","株主配当","従業員数",2,"可用性・応答時間等の約束。","マネジメント"
mgt-029,"デイリースクラムの時間の目安は？","15分","60分","5分","90分",1,"短時間で進捗と障害を共有。","マネジメント"
mgt-030,"テストピラミッドで最下層に位置づけられるのは？","E2Eテスト","UIテスト","ユニットテスト","探索的テスト",3,"数が多く速いユニットテストが基盤。","マネジメント"
tec-001,"OSI第4層のプロトコルはどれか？","IP","TCP/UDP","HTTP","Ethernet",2,"第4層はトランスポート層。","テクノロジ"
tec-002,"DNSの役割はどれか？","暗号化","名前解決","圧縮","経路制御",2,"ドメイン名をIPに変換。","テクノロジ"
tec-003,"HTTPの既定ポートは？","25","80","110","443",2,"HTTPは80/TCP。","テクノロジ"
tec-004,"HTTPSで用いられるのは？","SSH","TLS/SSL","FTP","TELNET",2,"TLSで暗号化されるHTTP。","テクノロジ"
tec-005,"公開鍵暗号の特徴は？","鍵が同一","鍵交換不要","高速暗号化","改ざん検出",2,"秘密鍵を共有せず成立。","テクノロジ"
tec-006,"ハッシュ関数の性質は？","復号可能","固定長出力","入力より必ず短い","鍵が必要",2,"任意長入力→固定長出力。","テクノロジ"
tec-007,"AESの鍵長は？","56/112/168","128/192/256","64/128/256","1024のみ",2,"AESは3種類の鍵長をサポート。","テクノロジ"
tec-008,"二要素認証の組み合わせ例は？","パスワード+PIN","指紋+顔","カード+PIN","パスワード+秘密の質問",3,"所持と知識など異種要素が必要。","テクノロジ"
tec-009,"ファイアウォールの主目的は？","データ圧縮","アクセス制御","電源安定化","バックアップ",2,"通信の許可/拒否を制御。","テクノロジ"
tec-010,"IDSの主目的は？","侵入防止","侵入検知","暗号化","復号",2,"不審な挙動を検知。","テクノロジ"
tec-011,"SQLインジェクション対策は？","入力検証とプリペアド","WAFのみ","SSLのみ","暗号化のみ",1,"バインド変数と検証が有効。","テクノロジ"
tec-012,"XSS対策は？","出力エスケープ","暗号化","圧縮","署名",1,"HTMLエスケープとCSPが基本。","テクノロジ"
tec-013,"CSPの目的は？","スクリプトの実行制御","圧縮率向上","経路制御","ログ最小化",1,"許可されたソースのみ実行。","テクノロジ"
tec-014,"RAID1の特徴は？","ストライピング","ミラーリング","パリティ分散","単一ディスク",2,"同一データを複製して冗長化。","テクノロジ"
tec-015,"IPv6のアドレス長は？","32ビット","64ビット","128ビット","256ビット",3,"IPv6は128ビット。","テクノロジ"
tec-016,"CPUの並列実行に寄与する仕組みは？","パイプライン","スワップ","デフラグ","スプール",1,"命令を段階並列で処理。","テクノロジ"
tec-017,"キャッシュメモリの利点は？","容量大","低価格","レイテンシ低","不揮発",3,"主記憶より高速。","テクノロジ"
tec-018,"正規化の第一正規形の条件は？","主キーがある","繰り返し属性がない","外部キーがある","非キーが主キーに従属",2,"各セルは単一値。","テクノロジ"
tec-019,"ACIDのAは？","Availability","Atomicity","Adaptability","Affordance",2,"トランザクションは原子性を満たす。","テクノロジ"
tec-020,"インデックスのデメリットは？","検索遅延","更新コスト増","容量節約","整合性低下",2,"更新時の負荷や容量増が発生。","テクノロジ"
tec-021,"RESTの原則に含まれるのは？","ステートフル","統一インタフェース","双方向固定","常時接続",2,"リソース指向の統一I/Fなど。","テクノロジ"
tec-022,"JSONの特徴は？","バイナリ必須","人間可読","コメント必須","スキーマ必須",2,"軽量で可読なデータ形式。","テクノロジ"
tec-023,"キューとスタックの違いは？","どちらもFIFO","キューはFIFO、スタックはLIFO","キューはLIFO、スタックはFIFO","どちらもLIFO",2,"順序規則が異なる。","テクノロジ"
tec-024,"ビッグオー表記で高速なのは？","O(n^2) > O(n)","O(n) > O(log n)","O(log n) < O(n)","O(n) < O(1)",3,"一般にO(log n)はO(n)より高速。","テクノロジ"
tec-025,"機械学習で過学習を防ぐ手法は？","学習データを減らす","正則化やドロップアウト","特徴量を減らさない","検証を行わない",2,"汎化性能を高める手法を使う。","テクノロジ"
tec-026,"クラウドの弾力性の説明は？","固定割当","需要に応じた自動拡縮","長期固定契約","リソース制限",2,"オートスケールなどで対応。","テクノロジ"
tec-027,"IaaSの例は？","Amazon EC2","Google Docs","Salesforce","Zoom",1,"IaaSはインフラ提供。","テクノロジ"
tec-028,"SaaSの特徴は？","利用者がOS管理","利用者がアプリ利用","利用者がHW管理","利用者が仮想化管理",2,"アプリをサービスとして提供。","テクノロジ"
tec-029,"可用性を高める設計は？","単一点障害の放置","冗長化","ログ削除","暗号化のみ",2,"冗長構成で継続性を高める。","テクノロジ"
tec-030,"バックアップ方式で差分の説明は？","前回フル以降の変更","前回増分以降の変更","常に全量","圧縮のみ",1,"差分は前回フルからの差。","テクノロジ"
