id,question,opt1,opt2,opt3,opt4,answer,explanation,tag,difficulty
63063,"GitOpsにおけるCI/CDの特徴はどれか？","全て手動マージで管理する","Gitリポジトリを単一の信頼源(Source of Truth)とし宣言的デプロイを自動化する","CI/CDは外部ツールでのみ管理する","YAML非対応",2,"GitOpsはGitをSOTとして宣言的にインフラ/アプリを同期し自動化を実現。","テクノロジ","標準"
63064,"ブルー/グリーンデプロイメントのメリットはどれか？","ユーザが片方の環境のみにアクセスできなくなる","本番環境切替時のダウンタイムをほぼゼロにできる","常に同じ環境を使い続ける","ロールバックは不可",2,"新旧環境を並行稼働し切替によるダウンタイム最小化と容易なロールバックを実現。","マネジメント","標準"
63065,"カナリアリリースで重要な指標はどれか？","ユーザID一覧のみ","小規模トラフィック下でのエラー率やパフォーマンス指標","常に全トラフィックを導入する","UIデザイン変更のみ",2,"一部ユーザに新バージョンを展開しエラー率やパフォーマンスを測定して安全性を担保。","マネジメント","標準"
63066,"カオスエンジニアリングの目的はどれか？","システム停止を意図的に引き起こし脆弱性を検出する","性能テストとは無関係である","全てのコンテナを手動で再起動する","コードレビューの代替",1,"故障注入により実運用下の耐障害性を検証し信頼性改善を図る手法。","テクノロジ","応用"
63067,"フィーチャーフラグの利点はどれか？","機能切替をデプロイなしで制御可能にし段階的リリースを支援する","全機能を必ず同時リリースする","コードベースに影響しない","運用負荷を増大させる",1,"フィーチャーフラグはフラグ制御で機能の有効無効を動的に切り替えリスク軽減を図る。","テクノロジ","標準"
63068,"OTP(One-Time Password)の利点はどれか？","同じパスワードを使い回す","一度しか使えずリプレイ攻撃を防ぐ","長期間有効である","認証とは無関係",2,"OTPは一回限りのパスワードでリプレイ攻撃や盗聴リスクを抑制する。","テクノロジ","初級"
63069,"AAAモデルで“Accounting”に該当する機能はどれか？","アクセスログの記録と利用状況の課金反映","認証を行う","権限を付与する","ネットワーク経路選択",1,"Accountingは利用者の操作やアクセスを記録し監査や課金に活用する。","マネジメント","標準"
63070,"証明書透明性ログ(Certificate Transparency)の目的はどれか？","有効証明書を公開し改ざんや不正発行を検知可能にする","証明書を自動で更新する","証明書を私有化する","公開鍵基盤を不要にする",1,"CTログは証明書発行履歴を公開しCA不正発行や中間者攻撃を検知する仕組み。","テクノロジ","標準"
63071,"コンテナイメージスキャンで検出対象となるものはどれか？","脆弱性のあるパッケージやライブラリのバージョン","OSの起動時間","物理サーバの配置","ユーザのパスワード",1,"イメージスキャンはパッケージ依存関係を解析し既知脆弱性を検出する。","テクノロジ","標準"
63072,"データオブザーバビリティの目的はどれか？","未知のデータ品質問題を迅速検知し根本原因を把握する","ログのみを保存する","すべて手動分析する","可視化は不要",1,"メトリクス・ログ・トレースの組合せでデータパイプラインの問題検出と分析を行う。","テクノロジ","応用"
63073,"フェデレーテッドID管理で利用される技術はどれか？","SAMLやOIDCによる認証連携","単一サインオン不要","VPNのみ","LDAP単独",1,"SAML/OIDCはドメイン間でID連携を実現する標準プロトコルである。","テクノロジ","標準"
63074,"EDR(Endpoint Detection and Response)の主な役割はどれか？","エンドポイントでの異常検知とインシデント対応を支援する","ウイルス定義の配布のみ","ネットワーク構成管理","物理ロック管理",1,"EDRは端末上の挙動を監視し異常検知と対応自動化を提供する。","テクノロジ","標準"
63075,"XDR(eXtended Detection and Response)で追加される機能はどれか？","複数のセキュリティデータソースを統合して検出と対応を最適化する","バックアップ管理","単一ログの解析","物理アクセス制御",1,"XDRはEDRに加えネットワークやクラウドログなど複数ソースを統合し検出精度を向上。","テクノロジ","応用"
63076,"ZTNA(Zero Trust Network Access)とVPNの違いはどれか？","ZTNAはアプリ単位でアクセス制御し最小権限を実現する","VPNはアプリ単位制御を提供する","ZTNAは境界防御のみ","VPNは常に認証不要",1,"ZTNAはアプリごとに動的認証・ポリシー制御を行い最小権限を適用する。","テクノロジ","標準"
63077,"チップレットアーキテクチャの利点はどれか？","大規模単一ダイでしか実装できない","複数の小型ダイを組み合わせてコストと性能を最適化する","一つのプロセッサのみを搭載","集積度が下がる",2,"チップレットは小型ダイを組合せチップ面積と歩留まりを改善しコスト最適化を図る。","テクノロジ","応用"
63078,"GDPRのデータ主体権利に含まれないものはどれか？","アクセス権","忘れられる権利","再販権","訂正権",3,"再販権は含まれず、アクセス・訂正・消去・データ移植などが主要権利。","マネジメント","標準"
63079,"CCPAのカバー範囲で正しい説明はどれか？","カリフォルニア州消費者の個人情報保護に特化している","EU全域で適用される","医療データのみ対象","クレジットカード会社のみ適用",1,"CCPAはカリフォルニア州の消費者個人情報取扱いに関する規制。","マネジメント","標準"
63080,"ITIL 4のChange Managementに該当しない活動はどれか？","変更のリスク評価と承認","変更の計画とコミュニケーション","変更の自動投入のみ","変更のレビューと学習",3,"ITIL 4では自動投入は道具の一つであり、承認・レビューが必須。","マネジメント","標準"
63081,"COBITフレームワークの目的はどれか？","ITガバナンスとマネジメントのためのベストプラクティスを提供する","プロジェクト管理のみ","インフラ設計ガイド","UIデザイン標準",1,"COBITはITガバナンス体系と目標管理、評価モデルを提供するフレームワーク。","マネジメント","標準"
63082,"Selfie認証で注意すべきリスクはどれか？","環境光量に依存するだけで完全安全","顔のなりすましやプレゼンテーション攻撃を防ぐ対策が必要","パスワードと同等に脆弱ではない","全てのデバイスに対応",2,"生体認証はプレゼン攻撃防止やLiveness検出など対策を組む必要がある。","テクノロジ","標準"
63083,"Remote Attestationの主な目的はどれか？","リモートでデバイスのソフトウェア/ハードウェア状態を検証し信頼性を確保する","システムの応答時間を短縮する","データ暗号化を排除する","OSを不要化する",1,"リモートアテステーションはTEEなどを利用しデバイス状態を検証する技術。","テクノロジ","応用"
63084,"Trusted Execution Environment(TEE)の特徴はどれか？","ハイパーバイザに完全依存する","隔離された安全な実行領域を提供し機密コードを保護する","ユーザアプリと完全に同一空間で動作する","仮想マシンよりも隔離性が低い",2,"TEEはCPU内に隔離領域を設け機密コードとデータを安全に実行保護する。","テクノロジ","応用"
63085,"機密コンピューティング(Confidential Computing)の目的はどれか？","データを平文で処理する","暗号化データをメモリ内で復号せず処理可能にしデータ保護を強化する","クラウド外でのみ処理する","ネットワークを暗号化しない",2,"機密コンピューティングはTEEを用い暗号化データ上で計算を行い機密性を維持。","テクノロジ","応用"
63086,"マルチテナント環境でのデータ分離手段として適切でないものはどれか？","仮想マシン／コンテナによる隔離","論理的アクセス制御(AAC)","物理サーバを専有する","シェアードデータベース／スキーマ分離",3,"マルチテナントでは物理専有はコスト効率や拡張性で一般的でない。","テクノロジ","標準"
63087,"単一障害点(SPOF)を排除する設計として適切でないものはどれか？","冗長構成と自動フェイルオーバを導入","負荷分散と分散配置を行う","一系統のネットワークのみを使用","データレプリケーションを行う",3,"SPOF排除には複数経路や冗長構成が必須で単一系統は避ける。","テクノロジ","初級"
63088,"TLSハンドシェイクで行われる処理はどれか？","暗号スイート交渉、証明書検証、セッション鍵生成などのセキュアチャネル確立","IPアドレス割当のみ","DNS解決","HTTPリクエスト送信",1,"TLSハンドシェイクは暗号化設定交渉と認証を行い共通鍵を生成して安全通信を確立する。","テクノロジ","標準"
63089,"eBPFが注目される理由はどれか？","カーネルを変更せずに動的にパフォーマンス観測やセキュリティ制御を実現する","仮想マシンを不要にする","アプリケーション言語を限定する","ユーザ空間のみに影響する",1,"eBPFはカーネルに安全にコードを注入し動的計測やパケット制御を可能にする。","テクノロジ","応用"
63090,"一時的コンテナ(Ephemeral Containers)のユースケースはどれか？","デバッグやトラブルシューティング時に既存Podにアタッチして診断ツールを実行する","本番トラフィックを処理する","永続ストレージを管理する","CI/CDパイプラインの代替",1,"Ephemeral ContainersはPod内で一時的にデバッグ用コンテナを起動し診断を支援する。","テクノロジ","応用"
63091,"サステナブルコンピューティングで重視される考え方はどれか？","電力効率とカーボンフットプリント削減を目的に設計と運用を最適化する","性能向上のみを追求する","常に最大電力を消費する","リサイクルを排除する",1,"環境負荷低減のためエネルギー効率とライフサイクル管理を組み込む。","ストラテジ","標準"
63092,"デジタル主権(Digital Sovereignty)の概念で重要な要素はどれか？","データと技術の所在と管理を自国でコントロールする能力","全てをグローバルクラウドに依存する","オープンソースを排除する","国内法を無視する",1,"データレジデンシやクラウドインフラの自国管理権限を確保する概念。","ストラテジ","標準"
63093,"主権クラウド(Sovereign Cloud)の特徴はどれか？","運用とデータ管理を特定地域や法域内で限定し規制準拠を確保する","クラウド移行を禁止する","可用性を犠牲にする","グローバル無区分で提供する",1,"Sovereign Cloudは法域要件を満たしデータ主権を保証するクラウドサービス。","テクノロジ","標準"
63094,"帯域幅(Bandwidth)とレイテンシ(Latency)の違いはどれか？","帯域幅はデータ転送速度、レイテンシは転送開始までの遅延を示す","両者は同義である","レイテンシは帯域幅の二乗に比例する","帯域幅は遅延のみを表す",1,"帯域幅は単位時間あたりの転送量、レイテンシは応答を開始するまでの時間遅延を指す。","テクノロジ","初級"
63095,"リアルタイムOS(RTOS)がIoTデバイスで選ばれる理由はどれか？","高いスループットのみを提供する","タスクのデッドライン保証による確定的応答を実現する","ユーザ空間のみで動作する","通常のLinuxと同一である",2,"RTOSは優先度ベースでスケジューリングしタスクの時間的確定性を保証する。","テクノロジ","初級"
63096,"ハイブリッドクラウド環境で一貫したセキュリティポリシーを適用する手法はどれか？","クラウドとオンプレで別々のポリシー管理を行う","統合ポリシープラットフォームで中央管理し自動適用する","手動設定のみを許容する","VPNのみで対応する",2,"統合プラットフォームにより全環境でポリシー一貫管理と監査を実現する。","マネジメント","標準"
63097,"コンテナランタイム間の互換性を確保する規格はどれか？","OCI(Open Container Initiative)","IEEE 802.11","HTTP/2","FTP",1,"OCIはコンテナイメージとランタイムの標準仕様を定義し互換性を保証する。","テクノロジ","標準"
63098,"サービスメッシュ(Service Mesh)の主な利点はどれか？","アプリケーションコード変更なしにトラフィック制御や可観測性を提供する","ネットワークを物理的に配線する","ミドルウェアを排除する","データベースのみを制御する",1,"Service Meshはサイドカーアーキテクチャでトラフィック管理や可観測性をコード非依存で提供。","テクノロジ","応用"
63099,"データアクセスレイヤーでの認可手法としてABAC(Attribute-Based Access Control）の特徴はどれか？","ユーザ・リソースの属性に基づき動的にアクセス制御を行う","固定のロールのみで制御する","すべてのアクセスを許可する","RBACと同義",1,"ABACは属性に応じてポリシーを評価し柔軟な動的アクセス制御を実現する。","テクノロジ","応用"
63100,"エッジデバイスのソフトウェア更新方式として適切でないものはどれか？","OTA(Over-The-Air)更新で自動的に配信する","手動でインストーラをUSB経由で配布する","更新中もサービス継続を保証するローリング更新を行う","更新パッケージを無署名で公開する",4,"無署名の更新パッケージは改ざんリスクが高くセキュリティ要件を満たさない。","テクノロジ","標準"
