"ID","Question","Option1","Option2","Option3","Option4","Answer","Explanation"
19,"システム開発プロジェクトの開始に当たり, 人的資源に関する計画書を作成することにした。この計画において, 要員を適切に配置し, より良いパフォーマンスを得るために考慮すべき事項として、 適切なものだけを全て挙げたものはどれか。 a プロジェクトに必要なスキルが要員に不足している場合は,トレーニングを計画する。 b プロジェクトに必要なスキルよりも, 要員の確保を常に優先するように計画する。 c 要員をフレキシブルに配置するために, 要員の役割と責任は、プロジェクトの計画段階では明確にせず、プロジェクトの開始後に定める。","ア a","イ a,b,c","ウ a, c","エ c",1,"（解説なし）"
20,"プロジェクトに該当する事例として, 適切なものだけを全て挙げたものはどれか。 a 会社合併に伴う新組織への移行 b 社内システムの問合せや不具合を受け付けるサービスデスクの運用 c 新規の経理システム導入に向けたプログラム開発 d 毎年度末に実施する会計処理","ア a, c","イ b, c","ウ b, d","エ c",1,"（解説なし）"
21,"システム開発プロジェクトを終結する時に, プロジェクト統合マネジメントで実施する活動として, 最も適切なものはどれか。","ア 工程の進捗の予定と実績の差異を分析する。","イ 作成した全ての成果物の一覧を確認する。","ウ 総費用の予算と実績の差異を分析する。","エ 知識や教訓を組織の資産として登録する。",4,"（解説なし）"
22,"あるシステムの運用において,利用者との間で SLA を交わし、 利用可能日を月曜日から金曜日, 1日の利用可能時間を7時から22時まで, 稼働率を98%以上で合意した。1週間の運用において, 障害などでシステムの停止を許容できる時間は最大何時間か。","ア 0.3","イ 1.5","ウ 1.8","エ 2.1",2,"（解説なし）"
23,"サービスデスクを評価するためには適切な KPI を定めて評価する必要がある。 顧客満足度を高めるために値が小さい方が良い KPI として, 適切なものだけを全て挙げたものはどれか。 a SLA で合意された目標時間内に対応が完了したインシデント件数の割合 b 1回の問合せで解決ができたインシデント件数の割合 c 二次担当へエスカレーションされたインシデント件数の割合 d 利用者がサービスデスクの担当者につながるまでに費やした時間","ア a, b","イ a, d","ウ b, c","エ c, d",4,"（解説なし）"
24,"アジャイル開発に関する記述として、最も適切なものはどれか。","ア 開発する機能を小さい単位に分割して, 優先度の高いものから短期間で開発とリリースを繰り返す。","イ 共通フレームを適用して要件定義、設計などの工程名及び作成する文書を定義する。","ウ システム開発を上流工程から下流工程まで順番に進めて、 全ての開発工程が終了してからリリースする。","エ プロトタイプを作成して利用者に確認を求め、利用者の評価とフィードバックを行いながら開発を進めていく。",1,"（解説なし）"
25,"システム監査人の役割として, 適切なものだけを全て挙げたものはどれか。 a 監査手続の種類, 実施時期, 適用範囲などについて, 監査計画を立案する。 b 監査の目的に応じた監査報告書を作成し, 社内に公開する。 c 監査報告書にある改善提案に基づく改善の実施を監査対象部門に指示する。 d 監査報告書にある改善提案に基づく改善の実施状況をモニタリングする。","ア a, b","イ a, d","ウ b, c","エ c, d",2,"（解説なし）"
26,"情報システムに関する施設や設備を維持・ 保全するために行うリスク対策のうち、ファシリティマネジメントの観点から行う対策として,適切なものだけを全て挙げたものはどれか。 a コンピュータ室への入室を、認可した者だけに限定する。 b コンピュータの設置場所を示す標識を掲示しない。 c 利用者の PC にマルウェア対策ソフトを導入する。","ア a","イ a, b","ウ a, c","エ b, c",2,"（解説なし）"
27,"提供している IT システムが事業のニーズを満たせるように, 人材, プロセス, 情報技術を適切に組み合わせ, 継続的に改善して管理する活動として, 最も適切なものはどれか。","ア ITサービスマネジメント","イ システム監査","ウ ヒューマンリソースマネジメント","エ ファシリティマネジメント",1,"（解説なし）"
28,"本番稼働後の業務遂行のために, 業務別にサービス利用方法の手順を示した文書として、最も適切なものはどれか。","ア FAQ","イ サービスレベル合意書","ウ システム要件定義書","エ 利用者マニュアル",4,"（解説なし）"
29,"IT サービスマネジメントの管理プロセスに関する記述 a ~c と用語の適切な組合せはどれか。 a ITサービスの変更を実装するためのプロセス b インシデントの根本原因を突き止めて解決策を提供するためのプロセス c 組織が所有している IT資産を把握するためのプロセス","ア 構成管理 問題管理 リリース及び展開管理","イ 構成管理 リリース及び展開管理 問題管理","ウ 問題管理 リリース及び展開管理 構成管理","エ リリース及び展開管理 問題管理 構成管理",4,"（解説なし）"
30,"ソフトウェアの開発における DevOps に関する記述として, 最も適切なものはどれか。","ア 開発側が重要な機能のプロトタイプを作成し, 顧客とともにその性能を実測して妥当性を評価する。","イ 開発側では, 開発の各工程でその工程の完了を判断した上で次工程に進み, 総合テストで利用者が参加して操作性の確認を実施した後に運用側に引き渡す。","ウ 開発側と運用側が密接に連携し,自動化ツールなどを活用して機能の導入や更新などを迅速に進める。","エ システム開発において, 機能の拡張を図るために, 固定された短期間のサイクルを繰り返しながらプログラムを順次追加する。",3,"（解説なし）"
31,"システム監査で用いる判断尺度の選定方法に関する記述として, 最も適切なものはどれか。","ア システム監査ではシステム管理基準の全項目をそのまま使用しなければならない。","イ システム監査のテーマに応じて, システム管理基準以外の基準を使用してもよい。","ウ システム監査のテーマによらず, システム管理基準以外の基準は使用すべきでない。","エ アジャイル開発では, システム管理基準は使用すべきでない。",2,"（解説なし）"
32,"ソフトウェア開発プロジェクトにおける, コストの見積手法には, 積み上げ法, ファンクションポイント法, 類推見積法などがある。 見積りで使用した手法とその特徴に関する記述 a ~c の適切な組合せはどれか。 a プロジェクトに必要な個々の作業を洗い出し, その作業ごとの工数を見積もって集計する。 b プロジェクトの初期段階で使用する手法で、 過去の事例を活用してコストを見積もる。 c データ入出力や機能に着目して, ソフトウェア規模を見積もり, 係数を乗ずるなどしてコストを見積もる。","ア 積み上げ法 a ファンクションポイント法 c 類推見積法 b","イ 積み上げ法 a ファンクションポイント法 b 類推見積法 c","ウ 積み上げ法 b ファンクションポイント法 a 類推見積法 c","エ 積み上げ法 c ファンクションポイント法 a 類推見積法 b",1,"（解説なし）"
33,"ソフトウェア製品の品質特性を, 移植性, 機能適合性, 互換性, 使用性、信頼性,性能効率性,セキュリティ, 保守性に分類したとき, RPA ソフトウェアの使用性に関する記述として, 最も適切なものはどれか。","ア RPA が稼働する PC の OS が変わっても動作する。","イ RPA で指定した時間及び条件に基づき, 適切に自動処理が実行される。","ウ RPA で操作対象となるアプリケーションソフトウェアがバージョンアップされても、簡単な設定変更で対応できる。","エ RPA を利用したことがない人でも,簡単な教育だけで利用可能になる。",4,"（解説なし）"
34,"システム開発プロジェクトにおいて, テスト中に発見された不具合の再発防止のために不具合分析を行うことにした。 テスト結果及び不具合の内容を表に記入し、不具合ごとに根本原因を突き止めた後に, 根本原因ごとに集計を行い発生頻度の多い順に並べ、主要な根本原因の特定を行った。 ここで利用した図表のうち, 根本原因を集計し、発生頻度順に並べて棒グラフで示し, 累積値を折れ線グラフで重ねて示したものはどれか。","ア 散布図","イ チェックシート","ウ 特性要因図","エ パレート図",4,"（解説なし）"
35,"システム開発プロジェクトにおいて, 新機能の追加要求が変更管理委員会で認可された後にプロジェクトスコープマネジメントで実施する活動として、 適切なものはどれか。","ア 新機能を追加で開発するために WBS を変更し, コストの詳細な見積りをするための情報として提供する。","イ 新機能を追加で開発するための WBS のアクティビティの実行に必要なスキルを確認し、必要に応じてプロジェクトチームの能力向上を図る。","ウ 変更された WBS に基づいてスケジュールを作成し,完了時期の見通しを提示する。","エ 変更された WBS に基づいて要員の充足度を確認し、 必要な場合は作業の外注を検討する。",1,"（解説なし）"
36,"IT ガバナンスに関する次の記述中の a に入れる字句として, 最も適切なものはどれか。 経営者は, a の事業の目的を支援する観点で, 効果的, 効率的かつ受容可能な a の ITの利用について評価する。","ア 過去と現在","イ 現在","ウ 現在と将来","エ 将来",3,"（解説なし）"
37,"事業活動に関わる法令の遵守などを目的の一つとして, 統制環境, リスクの評価と対応, 統制活動, 情報と伝達, モニタリング, IT への対応から構成される取組はどれか。","ア CMMI","イ ITIL","ウ 内部統制","エ リスク管理",3,"（解説なし）"
38,"システム監査の目的に関する記述として、 適切なものはどれか。","ア 開発すべきシステムの具体的な用途を分析し, システム要件を明らかにすること","イ 情報システムが設置されている施設とその環境を総合的に企画, 管理,活用すること","ウ 情報システムに係るリスクに適切に対応しているかどうかを評価することによって,組織体の目標達成に寄与すること","エ 知識, スキル, ツール及び技法をプロジェクト活動に適用することによってプロジェクトの要求事項を満足させること",3,"（解説なし）"
39,"サービスデスクの業務改善に関する記述のうち, 最も適切なものはどれか。","ア サービスデスクが受け付けた問合せの内容や回答 費やした時間などを記録して分析を行う。","イ 障害の問合せに対して一時的な回避策は提示せず, 根本原因及び解決策の検討に注力する体制を組む。","ウ 利用者が問合せを速やかに実施できるように, 問合せ窓口は問合せの種別ごとにできるだけ細かく分ける。","エ 利用者に対して公平性を保つように, 問合せ内容の重要度にかかわらず受付順に回答を実施するように徹底する。",1,"（解説なし）"
40,"システム監査人の行動規範に関して,次の記述中の a, b に入れる字句の適切な組合せはどれか。 システム監査人は, 監査対象となる組織と同一の指揮命令系統に属していないなど, a 上の独立性が確保されている必要がある。 また, システム監査人は b 立場で公正な判断を行うという精神的な態度が求められる。","ア 外観 客観的な","イ 経営 被監査側の","ウ 契約 経営者側の","エ 取引 良心的な",1,"（解説なし）"
41,"システム開発プロジェクトの品質目標を検討するために, 複数の類似プロジェクトのプログラムステップ数と不良件数の関係性を示す図として、 適切なものはどれか。","ア 管理図","イ 散布図","ウ 特性要因図","エ パレート図",2,"（解説なし）"
42,"運用中のソフトウェアの仕様書がないので,ソースコードを解析してプログラムの仕様書を作成した。 この手法を何というか。","ア コードレビュー","イ デザインレビュー","ウ リバースエンジニアリング","エ リファクタリング",3,"（解説なし）"
43,"ソフトウェア開発における DevOps に関する記述として, 最も適切なものはどれか。","ア 運用側で利用する画面のイメージを明確にするために, 開発側が要件定義段階でプロトタイプを作成する。","イ 開発側が, 設計・開発テストの工程を順に実施して, システムに必要な全ての機能及び品質を揃えてから運用側に引き渡す。","ウ 開発側と運用側が密接に連携し, 自動化ツールなどを取り入れることによって,仕様変更要求などに対して迅速かつ柔軟に対応する。","エ 一つのプログラムを2人の開発者が共同で開発することによって, 生産性と信頼性を向上させる。",3,"（解説なし）"
44,"ソフトウェア導入作業に関する記述 ad のうち, 適切なものだけを全て挙げたものはどれか。 a 新規開発の場合, 導入計画書の作成はせず, 期日までに速やかに導入する。 b ソフトウェア導入作業を実施した後, 速やかに導入計画書と導入報告書を作成し, 合意を得る必要がある。 c ソフトウェアを自社開発した場合, 影響範囲が社内になるので導入計画書の作成後に導入し, 導入計画書の合意は導入後に行う。 d 本番稼働中のソフトウェアに機能追加する場合, 機能追加したソフトウェアの導入計画書を作成し, 合意を得てソフトウェア導入作業を実施する。","ア a, c","イ b, c, d","ウ b, d","エ d",4,"（解説なし）"
45,"A 社の IT 部門では, ヘルプデスクのサービス可用性の向上を図るために, 対応時間を24時間に拡大することを検討している。 ヘルプデスク業務をA社から受託しているB社は,これを実現するためにチャットボットをB社に導入して活用することによって,深夜時間帯は自動応答で対応する旨を提案したところ, A 社は24時間対応が可能であるのでこれに合意した。 この合意に用いる文書として,最も適切なものはどれか。","ア BCP","イ NDA","ウ SLA","エ SLM",3,"（解説なし）"
46,"プロジェクトマネジメントでは,スケジュール, コスト, 品質といった競合する制約条件のバランスをとることが求められる。 計画していた開発スケジュールを短縮することになった場合の対応として、 適切なものはどれか。","ア 資源の追加によってコストを増加させてでもスケジュールを遵守することを検討する。","イ 提供するシステムの高機能化を図ってスケジュールを遵守することを検討する。","ウ プロジェクトの対象スコープを拡大してスケジュールを遵守することを検討する。","エ プロジェクトメンバーを削減してスケジュールを遵守することを検討する。",1,"（解説なし）"
47,"IT サービスに関する指標には, IT サービスが利用できなくなるインシデントの発生間隔の平均時間である MTBSI (Mean Time Between Service Incidents) があり,サービスの中断の発生しにくさを表す。 IT サービスにおいて MTBSI の改善を行っている事例として, 最も適切なものはどれか。","ア インシデント対応事例のデータベースを整備し, 分析することによって, サービスの中断から原因究明までの時間の短縮を図る。","イ サービスのメニューを増やすことによって,利用者数の増加を図る。","ウ サービスを提供しているネットワークの構成を二重化することによって, ネットワークがつながらなくなる障害の低減を図る。","エ ヘルプデスクの要員を増やすことによって, サービス利用者からの個々の問合せにおける待ち時間の短縮を図る。",3,"（解説なし）"
48,"あるホスティングサービスのSLAの内容に ac がある。 これらと関連する IT サービスマネジメントの管理との適切な組合せはどれか。 a サーバが稼働している時間 b ディスクの使用量が設定したしきい値に達したことを検出した後に, 指定された担当者に通知するまでの時間 c 不正アクセスの検知後に, 指定された担当者に通知するまでの時間","ア サービス可用性管理 a 容量・能力管理 b 情報セキュリティ管理 c","イ サービス可用性管理 a 容量・能力管理 c 情報セキュリティ管理 b","ウ サービス可用性管理 b 容量・能力管理 a 情報セキュリティ管理 c","エ サービス可用性管理 c 容量・能力管理 b 情報セキュリティ管理 a",1,"（解説なし）"
49,"システム環境整備に関する次の記述中の a, b に入れる字句の適切な組合せはどれか。 企業などがシステム環境である建物や設備などの資源を最善の状態に保つ考え方として a がある。 その考え方を踏まえたシステム環境整備の施策として, 突発的な停電が発生したときにサーバに一定時間電力を供給する機器である b の配備などがある。","ア サービスレベルマネジメント IPS","イ サービスレベルマネジメント UPS","ウ ファシリティマネジメント IPS","エ ファシリティマネジメント UPS",4,"（解説なし）"
50,"リファクタリングの説明として、 適切なものはどれか。","ア ソフトウェアが提供する機能仕様を変えずに,内部構造を改善すること","イ ソフトウェアの動作などを解析して, その仕様を明らかにすること","ウ ソフトウェアの不具合を修正し、 仕様どおりに動くようにすること","エ 利用者の要望などを基に, ソフトウェアに新しい機能を加える修正をすること",1,"（解説なし）"
51,"内部統制において, 不正防止を目的とした職務分掌に関する事例として, 最も適切なものはどれか。","ア 申請者は自身の申請を承認できないようにする。","イ 申請部署と承認部署の役員を兼務させる。","ウ 一つの業務を複数の担当者が手分けして行う。","エ 一つの業務を複数の部署で分散して行う。",1,"（解説なし）"
52,"IT サービスマネジメントにおいて, 過去のインシデントの内容を FAQ としてデータベース化した。 それによって改善が期待できる項目に関する記述 a~c のうち,適切なものだけを全て挙げたものはどれか。 a ITサービスに関連する構成要素の情報を必要な場合にいつでも確認できる。 b 要員候補の業務経歴を確認し,適切な要員配置計画を立案できる。 c 利用者からの問合せに対する一次回答率が高まる。","ア a","イ a, b","ウ a, c","エ c",4,"（解説なし）"
53,"会計監査の目的として, 最も適切なものはどれか。","ア 経理システムを含め, 利用している IT に関するリスクをコントロールし, IT ガバナンスが実現されていることを確認する。","イ 経理部門が保有している PC の利用方法をはじめとして、 情報のセキュリティに係るリスクマネジメントが効果的に実施されていることを確認する。","ウ 組織内の会計業務などを含む諸業務が組織の方針に従って, 合理的かつ効率的な運用が実現されていることを確認する。","エ 日常の各種取引の発生から決算報告書への集計に至るまで, 不正や誤りのない処理が行われていることを確認する。",4,"（解説なし）"
54,"IT が適切に活用されるために企業が実施している活動を, ルールを決める活動と,ルールに従って行動する活動に分けたとき, ルールを決める活動に該当するものはどれか。","ア IT 投資判断基準の確立","イ SLA 遵守のためのオペレーション管理","ウ 開発プロジェクトの予算管理","エ 標準システム開発手法に準拠した個別のプロジェクトの推進",1,"（解説なし）"
55,"システム開発のプロジェクトマネジメントに関する記述 a〜d のうち, スコープのマネジメントの失敗事例だけを全て挙げたものはどれか。 a 開発に必要な人件費を過少に見積もったので,予算を超過した。 b 開発の作業に必要な期間を短く設定したので, 予定期間で開発を完了させることができなかった。 c 作成する機能の範囲をあらかじめ決めずにプロジェクトを開始したので、 開発期間を超過した。 d プロジェクトで実施すべき作業が幾つか計画から欠落していたので,システムを完成できなかった。","ア a, b","イ b, c","ウ b, d","エ c, d",4,"（解説なし）"
56,"ソフトウェア開発の仕事に対し, 10名が15日間で完了する計画を立てた。 しかし,仕事開始日から5日間は, 8名しか要員を確保できないことが分かった。 計画どおり15日間で仕事を完了させるためには, 6日目以降は何名の要員が必要か。 ここで,各要員の生産性は同じものとする。","ア 10","イ 11","ウ 12","エ 14",2,"（解説なし）"
57,"プロジェクトで作成する WBS に関する記述のうち, 適切なものはどれか。","ア WBS ではプロジェクトで実施すべき作業内容と成果物を定義するので, 作業工数を見積もるときの根拠として使用できる。","イ WBS には,プロジェクトのスコープ外の作業も検討して含める。","ウ 全てのプロジェクトにおいて, WBS は成果物と作業内容を同じ階層まで詳細化する。","エ プロジェクトの担当者がスコープ内の類似作業を実施する場合, WBS にはそれらの作業を記載しなくてよい。",1,"（解説なし）"
58,"システムによる内部統制を目的として,幾つかの機能を実装した。 次の処理は,どの機能の実現例として適切か。 ログイン画面を表示して利用者IDとパスワードを入力する。 利用者 ID とパスワードの組合せがあらかじめ登録されている内容と一致する場合は業務メニュー画面に遷移する。一致しない場合は遷移せずにエラーメッセージを表示する。","ア システム障害の検知","イ システムによるアクセス制御","ウ 利用者に対するアクセス権の付与","エ 利用者のパスワード設定の妥当性の確認",2,"（解説なし）"
59,"XP(エクストリームプログラミング) の説明として、最も適切なものはどれか。","ア テストプログラムを先に作成し, そのテストに合格するようにコードを記述する開発手法のことである。","イ 一つのプログラムを2人のプログラマが, 1台のコンピュータに向かって共同で開発する方法のことである。","ウ プログラムの振る舞いを変えずに,プログラムの内部構造を改善することである。","エ 要求の変化に対応した高品質のソフトウェアを短いサイクルでリリースする,アジャイル開発のアプローチの一つである。",4,"（解説なし）"
60,"提供する IT サービスの価値を高めるためには、サービスの提供価格, どのようなことができるかというサービスの機能, 及び可用性などを維持するサービスの保証の三つのバランスを考慮する必要がある。 インスタントメッセンジャのサービスに関する記述のうち,サービスの保証に当たるものはどれか。","ア 24時間365日利用可能である。","イ ゲームなどの他のソフトウェアと連携可能である。","ウ 無料で利用可能である。","エ 文字の代わりに自分で作成したアイコンも利用可能である。",1,"（解説なし）"
61,"IT ガバナンスに関する記述として、最も適切なものはどれか。","ア ITサービスマネジメントに関して, 広く利用されているベストプラクティスを集めたもの","イ システム及びソフトウェア開発とその取引の適正化に向けて,それらのベースとなる作業項目の一つ一つを定義して標準化したもの","ウ 経営陣が組織の価値を高めるために実践する行動であり, 情報システム戦略の策定及び実現に必要な組織能力のこと","エ プロジェクトの要求事項を満足させるために, 知識, スキル, ツール, 技法をプロジェクト活動に適用すること",3,"（解説なし）"
62,"テレワークを推進しているある会社では, サテライトオフィスを構築している。 サテライトオフィスで使用するネットワーク機器や PC を対象に, 落雷による過電流を防止するための対策を検討した。 有効な対策として, 最も適切なものはどれか。","ア グリーン IT に対応した機器の設置","イ サージ防護に対応した機器の設置","ウ 無線LANルータの設置","エ 無停電電源装置の設置",2,"（解説なし）"
63,"システムの開発側と運用側がお互いに連携し合い, 運用や本番移行を自動化する仕組みなどを積極的に取り入れ、 新機能をリリースしてサービスの改善を行う取組を表す用語として, 最も適切なものはどれか。","ア DevOps","イ RAD","ウ オブジェクト指向開発","エ テスト駆動開発",1,"（解説なし）"
64,"ITサービスマネジメントにおけるインシデント管理の目的として,適切なものはどれか。","ア インシデントの原因を分析し, 根本的な原因を解決することによって, インシデントの再発を防止する。","イ サービスに対する全ての変更を一元的に管理することによって, 変更に伴う障害発生などのリスクを低減する。","ウ サービスを構成する全ての機器やソフトウェアに関する情報を最新, 正確に維持管理する。","エ インシデントによって中断しているサービスを可能な限り迅速に回復する。",4,"（解説なし）"
65,"ブラックボックステストに関する記述として, 適切なものはどれか。","ア プログラムの全ての分岐についてテストする。","イ プログラムの全ての命令についてテストする。","ウ プログラムの内部構造に基づいてテストする。","エ プログラムの入力と出力に着目してテストする。",4,"（解説なし）"
66,"ad のうち, ファシリティマネジメントに関する実施事項として, 適切なものだけを全て挙げたものはどれか。 a コンピュータを設置した建物への入退館の管理 b 社内の PC へのマルウェア対策ソフトの導入と更新管理 c 情報システムを構成するソフトウェアのライセンス管理 d 停電時のデータ消失防止のための無停電電源装置の設置","ア a, c","イ a, d","ウ b, d","エ c, d",2,"（解説なし）"
67,"ソフトウェア保守に関する記述のうち, 適切なものはどれか。","ア 本番環境で運用中のシステムに対して, ソフトウェアの潜在不良を発見し,障害が発生する前に修正を行うことはソフトウェア保守には含まれない。","イ 本番環境で運用中のシステムに対して, ソフトウェアの不具合を修正することがソフトウェア保守であり, 仕様変更に伴う修正はソフトウェア保守には含まれない。","ウ 本番環境で運用中のシステムに対して, 法律改正に伴うソフトウェア修正もソフトウェア保守に含まれる。","エ 本番環境で運用中のシステムに対する修正だけでなく, 納入前のシステム開発期間中に実施した不具合の修正もソフトウェア保守に含まれる。",3,"（解説なし）"
